0|abstrakte, ungegenständliche Kunst
11F4122|Maria, stehend (oder in halber Größe), das Christuskind auf ihrem Arm sitzend (Christus zur Linken Marias)
11F41221|'Hodegetria' als Darstellungsform der Madonna
11F41222|'Dexiocratousa' als Darstellungsform der Madonna
11F41223|Eleousa, Glykophilousa als Darstellungsformen der Madonna
11F4123|Maria stehend (oder halbfigurig), das Christuskind liegt auf ihrem Arm
11F41231|Galaktotrophousa als Darstellungsform der Madonna
11F413|spezifische Darstellungsformen der stehenden (oder halbfigurigen) Madonna (ohne andere Figuren)
11F4131|Platytera: Maria im Orantengestus mit dem Christuskind in einem Clipeus vor ihr
11F41311|Maria (gewöhnlich mit dem Christuskind) im Orantengestus in einem (Lebens)brunnen
11F4132|Madonna (in einer Mandorla) auf der Mondsichel (manchmal als Himmelskönigin bezeichnet)
11F4133|das Christuskind kämpft auf Marias Arm gegen den Drachen
11F4134|Madonna della Vittoria, triumphierend, z.B. über den Protestantismus
11F4135|Marianum: Madonna in einer Aureole oder Mandorla (von einem Rosenkranz umgeben), Maria in einer Glorie
11F4136|Madonna auf einer Säule, Mariensäule
11F4137|die Madonna steht (oder sitzt) auf einem Löwen (bzw. auf dem Löwen von Juda)
11F42|Madonna: Maria sitzt oder thront (machmal halbfigurig) und hält das Christuskind in ihrem Schoß (oder vor ihre Brust)
11F421|Maria sitzt oder thront und hält das Christuskind in ihrem Schoß (oder vor ihre Brust)
11F4211|Maria sitzt oder thront, das Christuskind steht vor ihr
11F4212|Maria sitzt oder thront, das Christuskind sitzt vor ihr
11F42121|Sedes Sapientiae
11F42122|die Madonna (oder Maria allein) sitzt auf dem Thron Salomos, manchmal von Tugenden umgeben
11F4213|Maria sitzt oder thront, das Christuskind liegt (machmal in Pietà-Haltung) vor ihr
11F422|Maria sitzt oder thront, hält das Christuskind auf ihrem Knie oder trägt es in den Armen
11F4221|Maria sitzt oder thront, das Christuskind steht auf ihrem Knie
11F4222|Maria sitzt oder thront, das Christuskind sitzt auf ihrem Knie
11F4223|Maria sitzt oder thront, das Christuskind liegt auf ihrem Knie
11F423|spezifische Darstellungsformen der sitzenden oder thronenden Madonna (ohne andere Personen)
11F4231|die Madonna im Rosengarten, Paradiesgärtlein
11F4232|die Madonna ist von einer Girlande aus Blumen (oder Früchten) umgeben
11F4233|die Madonna in einem Baum
11F43|Madonna: Maria sitzt auf dem Boden, das Christuskind in ihrem Schoß
11F431|Maria sitzt auf dem Boden, das Christuskind vor ihr in ihrem Schoß
11F4311|Maria sitzt auf dem Boden, das Christuskind steht vor ihr
11F4312|Maria sitzt auf dem Boden, das Christuskind sitzt vor ihr
11F4313|Maria sitzt auf dem Boden, das Christuskind liegt vor ihr
11F43131|Madonna dell'Umiltà: Maria sitzt auf dem Boden und stillt das Christuskind
11F4314|Maria, auf dem Boden sitzend, das Christuskind vor ihr auf ihrem Schoß kniend
11F432|Maria sitzt auf dem Boden, das Christuskind steht in ihrem Schoß oder auf ihrem Knie
11F4321|Maria sitzt auf dem Boden, das Christuskind steht (schreitet) auf ihrem Schoß oder auf ihrem Knie
11F4322|Maria sitzt auf dem Boden, das Christuskind sitzt in ihrem Schoß oder auf ihrem Knie
11F4323|Maria sitzt auf dem Boden, das Christuskind liegt in ihrem Schoß oder auf ihrem Knie
11F4324|Maria, auf dem Boden sitzend, das Christuskind kniet auf Marias Schoß oder auf ihrem Knie (Christuskind zu Marias Linken)
11F44|Madonna: das Christuskind steht frei neben Maria oder lehnt sich an sie
11F441|Maria mit dem freistehenden oder an sie gelehnten Christuskind vor ihr
11F4411|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind stehend)
11F4412|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind sitzend)
11F4413|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind liegend)
11F4414|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind kniend)
11F442|Maria mit dem freistehenden oder an sie gelehnten Christuskind neben ihr
11F4421|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind stehend)
11F4422|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind sitzend)
11F4423|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind liegend)
11F4424|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind kniend)
11F45|Maria (auf dem Boden) kniend, das Christuskind vor ihr
11F451|Maria (auf dem Boden) kniend, das Christuskind steht vor ihr
11F452|Maria (auf dem Boden) kniend, das Christuskind sitzt vor ihr
11F453|Maria (auf dem Boden) kniend, das Christuskind liegt vor ihr
11F454|Maria (auf dem Boden) kniend, das Christuskind kniet vor ihr
11F46|das Christuskind sitzt auf Marias Schulter
11F461|Maria steht, das Christuskind sitzt auf ihrer Schulter
11F462|Maria sitzt oder thront, das Christuskind sitzt auf ihrer Schulter
11F463|Maria auf dem Boden sitzend, das Christuskind sitzt auf ihrer Schulter
11F464|Maria kniend, das Christuskind sitzt auf ihrer Schulter
11F5|Madonna (d.h. Maria mit Kind) in der Luft, oder auf Wolken
11F6|die Madonna (d.h. Maria mit Kind) von anderen Personen begleitet oder umgeben
11F61|Madonna mit Heiligen
11F611|Sacra Conversazione
11F612|Über dich freut sich
11F62|spezifische Darstellungsformen der Madonna zusammen mit anderen Personen
11F621|Regina Coeli, Regina Angelorum, Maestà, als Darstellungsformen der Madonna
11F6211|Regina Coeli, Regina Angelorum, Maestà (bei Anwesenheit Johannes des Täufers)
11F622|Virgo inter Virgines
11F623|Rosenkranzmadonna
11F624|Mater Misericordiae, Schutzmantelmadonna, Schutzmantelmaria
11F63|Madonna (oder Maria ohne Christuskind) als Patronin oder Protektorin z.B. einer Bruderschaft oder eines weltlichen Ordens
11F7|spezifische Aspekte von Madonnendarstellungen (N.B.: nur sekundäre Notationen)
11F71|spezifische Aspekte der Darstellung des Christuskindes in Madonnendarstellungen (N.B.: nur sekundäre Notationen)
11F711|das Christuskind spricht oder macht einen Segensgestus (in Madonnendarstellungen)
11F712|das Christuskind schaut aus dem Bild heraus (in Madonnendarstellungen)
11F713|das Christuskind schaut (einen) Heilige(n) oder Stifter an (in Madonnendarstellungen)
11F714|das Christuskind schläft (in Madonnendarstellungen)
11F715|das Christuskind hält etwas in der Hand, z.B. Kirschen, Weintrauben, einen Apfel, einen Vogel, ein Kruzifix, eine Papierwindmühle (in Madonnendarstellungen)
11F7151|das Christuskind überreicht jemandem etwas (in Madonnendarstellungen)
11F7152|das Christuskind nimmt etwas entgegen, streckt sich nach etwas aus (in Madonnendarstellungen)
11F716|das Christuskind ißt etwas (in Madonnendarstellungen)
11F717|das Christuskind spielt (in Madonnendarstellungen)
11F7171|das Christuskind spielt mit Engeln (in Madonnendarstellungen)
11F7172|das Christuskind spielt mit dem Lamm (in Madonnendarstellungen)
11F72|spezifische Aspekte der Bezugnahme zwischen dem Christuskind und Maria in Madonnendarstellungen (N.B.: nur sekundäre Notationen)
11F721|das Christuskind schaut oder wendet sich zu Maria (in Madonnendarstellungen)
11F722|das Christuskind streckt sich nach Maria aus und zeigt ihr etwas (in Madonnendarstellungen)
11F723|das Christuskind lüftet Marias Schleier, greift nach ihrer Kleidung, legt die Hände auf ihre Brust (in Madonnendarstellungen)
11F724|das Christuskind schlingt seine Arme (oder einen Arm) um Marias Hals (in Madonnendarstellungen)
11F725|das Christuskind Wange an Wange mit Maria oder Maria küssend (in Madonnendarstellungen)
11F726|das Christuskind wird gestillt oder soll gestillt werden, wenn z.B. Maria ihre Brust entblößt (in Madonnendarstellungen)
11F7261|ablactatio: Christus trinkt nicht (mehr), Marias Brust ist entblößt (in Madonnendarstellungen)
11F7269|das Christuskind weigert sich, an Marias Brust zu trinken (in Madonnendarstellungen)
11F727|Tintenfaßmadonna: Maria hält das Tintenfaß, das Christuskind schreibt (in Madonnendarstellungen)
11F728|das Christuskind krönt Maria (in Madonnendarstellungen)
11F73|spezifische Aspekte der Darstellung Marias in Madonnendarstellungen (N.B.: nur sekundäre Notationen)
11F731|Maria hält etwas in der Hand, z.B. einen Apfel, eine Weintraube, ein Kruzifix, einen Stieglitz (in Madonnendarstellungen)
11F732|Maria sitzt auf Stufen oder auf einer Treppe (in Madonnendarstellungen)
11F74|andere spezifische Aspekte von Madonnendarstellungen
11F741|Johannes der Täufer als Kind in Madonnendarstellungen (N.B.: nur sekundäre Notationen)
11F8|Mirakel, Erscheinungen und Legenden mit Bezug auf Maria
11F81|wundertätige Marien- oder Madonnenstatuen
11F81(...)|wundertätige Marien- oder Madonnenstatuen (mit NAMEN)
11F82|Marienerscheinungen
11F83|Marienlegenden und -mirakel
11F831|Legende vom Mönch Theophilus, der seine Seele dem Teufel verkauft hat (Marienlegende)
11F8311|die Buße des Theophilus
11F832|Legende vom Judenknaben, der verbrannt werden sollte, nachdem er die Kommunion empfangen hatte, und von Maria gerettet wurde
11F833|Maria rettet ein Kind, das dem Teufel geweiht worden ist
11F834|das Hl. Haus von Nazareth wird nach Loreto gebracht (Marienmirakel)
11F9|Marienverehrung
11F91|das Hl. Herz Marias
11F92|Marienreliquien
11FF25|Mater Dolorosa - FF - Mater Dolorosa, Kopf oder Brustbild
11FF251|die weinende Maria - FF - Mater Dolorosa, Kopf oder Brustbild
11FF252|Maria von einem Schwert durchbohrt - FF - Mater Dolorosa, Kopf oder Brustbild
11FF253|Maria mit den Leidenswerkzeugen - FF - Mater Dolorosa, Kopf oder Brustbild
11FF412|Maria stehend (oder halbfigurig), das Christuskind auf ihrem Arm und an ihrer Brust - FF - das Christuskind zur Rechten Marias
11FF4121|Maria stehend (oder halbfigurig), das Christuskind steht auf ihrem Arm - FF - das Christuskind zur Rechten Marias
11FF4122|Maria, stehend (oder in halber Größe), das Christuskind auf ihrem Arm sitzend (Christus zur Linken Marias) - FF - das Christuskind zur Rechten Marias
11FF41223|Eleousa, Glykophilousa als Darstellungsformen der Madonna - FF - das Christuskind zur Rechten Marias
11FF4123|Maria stehend (oder halbfigurig), das Christuskind liegt auf ihrem Arm - FF - das Christuskind zur Rechten Marias
11FF41231|Galaktotrophousa als Darstellungsform der Madonna - FF - das Christuskind zur Rechten Marias
11FF422|Maria sitzt oder thront, hält das Christuskind auf ihrem Knie oder trägt es in den Armen - FF - das Christuskind zur Rechten Marias
11FF4221|Maria sitzt oder thront, das Christuskind steht auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4222|Maria sitzt oder thront, das Christuskind sitzt auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4223|Maria sitzt oder thront, das Christuskind liegt auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF432|Maria sitzt auf dem Boden, das Christuskind steht in ihrem Schoß oder auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4321|Maria sitzt auf dem Boden, das Christuskind steht (schreitet) auf ihrem Schoß oder auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4322|Maria sitzt auf dem Boden, das Christuskind sitzt in ihrem Schoß oder auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4323|Maria sitzt auf dem Boden, das Christuskind liegt in ihrem Schoß oder auf ihrem Knie - FF - das Christuskind zur Rechten Marias
11FF4324|Maria, auf dem Boden sitzend, das Christuskind kniet auf Marias Schoß oder auf ihrem Knie (Christuskind zu Marias Linken) - FF - das Christuskind zur Rechten Marias
11FF44|Madonna: das Christuskind steht frei neben Maria oder lehnt sich an sie - FF - Maria sitzend oder thronend
11FF441|Maria mit dem freistehenden oder an sie gelehnten Christuskind vor ihr - FF - Maria sitzend oder thronend
11FF4411|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind stehend) - FF - Maria sitzend oder thronend
11FF4412|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind sitzend) - FF - Maria sitzend oder thronend
11FF4413|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind liegend) - FF - Maria sitzend oder thronend
11FF4414|Maria (stehend) mit dem Christuskind vor sich (freistehend oder sich an sie lehnend; Christuskind kniend) - FF - Maria sitzend oder thronend
11FF442|Maria mit dem freistehenden oder an sie gelehnten Christuskind neben ihr - FF - Maria sitzend oder thronend
11FF4421|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind stehend) - FF - Maria sitzend oder thronend
11FF4422|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind sitzend) - FF - Maria sitzend oder thronend
11FF4423|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind liegend) - FF - Maria sitzend oder thronend
11FF4424|Maria (stehend) mit dem Christuskind neben sich (freistehend oder sich an sie lehnend; Christuskind kniend) - FF - Maria sitzend oder thronend
11G|Engel
11G1|die neun Engelschöre, Hierarchie der Engel
11G11|die Seraphim
11G12|die Cherubim
11G13|(von Engeln gehaltene) Throne in Darstellungen der Engelshierarchie
11G14|die Herrschaften (mit Zepter und Schwert) in Darstellungen der Engelshierarchie
11G15|die Tugenden (halten die Leidenswerkzeuge) in Darstellungen der Engelshierarchie
11G16|die Mächte (mit Flammenschwert) in Darstellungen der Engelshierarchie
11G17|die Fürstenstände (mit Schwert, Zepter und Kreuz) in Darstellungen der Engelshierarchie
11G18|die sieben Erzengel
11G181|die Gruppe der vier Erzengel
11G182| die Gruppe der drei kanonischen Erzengel: Michael, Gabriel und Raphael
11G183|der Erzengel Michael (häufig in Rüstung mit Schwert oder Lanze)
11G1831|Psychostasis: der Erzengel Michael wägt die Seelen und ersticht den Teufel
11G1832|der Erzengel Michael führt eine Seele in den Himmel
11G1833|der Erzengel Michael verwehrt einer Seele den Einlaß in den Himmel
11G1834|die Erscheinungen des Erzengels Michael
11G18341|auf dem Monte Gargano erscheint der Erzengel Michael dem Garganus, Bischof von Siponte, der einen Pfeil auf einen Stier abgeschossen hat
11G1835|die Wunder des Erzengels Michael
11G184|der Erzengel Gabriel
11G1841|der Erzengel Gabriel verkündet Maria und dem Christuskind die Passion Christi
11G185|der Erzengel Raphael
11G186|andere Erzengel als Michael, Gabriel und Raphael
11G186(...)|andere Erzengel als Michael, Gabriel und Raphael (mit NAMEN)
11G186(URIEL)|(andere) Erzengel: Uriel
11G19|niedere(r) Engel
11G191|Engel als Kind(er) dargestellt
11G1911|Cherubim, d.h. Kinderköpfe mit Flügeln
11G192|Engel, dargestellt als Jugendliche(r) oder Erwachsene(r)
11G1921|Engel mit Buch, Schriftrolle oder Banderole
11G1922|Engel mit Zepter und/oder Kugel
11G1923|Engel mit Fackel(n)
11G1924|Engel mit Weihrauchfaß
11G1925|Engel mit Kelch
11G1926|Engel mit anderen Gegenständen, z.B. Waffen
11G193|weibliche Engel
11G194|Engel in nicht-menschlicher Gestalt
11G1941|Engel als Lichtstrahlen
11G1942|Engel als geflügelte Räder
11G2|Handlungen der Engel (im Himmel)
11G21|singende, musizierende Engel
11G22|Engel, die die Eucharistie feiern
11G23|Engel, die jemanden krönen und/oder Palmzweige bringen
11G24|Engel, die einen Vorhang halten
11G25|adorierende Engel
11G26|Engel, die auf Pferden reiten
11G3|kämpfende Engel
11G31|der Erzengel Michael kämpft gegen den Drachen (Teufel, Satan)
11G311|Michael ruht neben dem Leichnam des Drachens
11G32|der Erzengel Michael (und andere Engel) vertreiben die aufrührerischen Engel aus dem Himmel
11G321|Engel (ohne Michael) vertreiben die aufrührerischen Engel aus dem Himmel
11G33|Sturz der Engel, die Teufel werden
11G331|der Sturz Satans bzw. Luzifers
11G34|Engel kämpfen gegen andere böse Mächte
11G4|besondere Darstellungsformen der Engel, z.B. ihr Eingreifen in menschliche Angelegenheiten
11G41|Schutzengel
11G42|Engel retten eine Seele, die von Teufeln verfolgt wird
11G43|Engel, die etwas zerstören
11G44|Engel als Patrone
11G44(...)|Engel als Patrone (mit NAMEN)
11GG19|niedere(r) Engel - GG - niedere(r) Engel ohne Flügel
11GG191|Engel als Kind(er) dargestellt - GG - niedere(r) Engel ohne Flügel
11GG192|Engel, dargestellt als Jugendliche(r) oder Erwachsene(r) - GG - niedere(r) Engel ohne Flügel
11GG1921|Engel mit Buch, Schriftrolle oder Banderole - GG - niedere(r) Engel ohne Flügel
11GG1922|Engel mit Zepter und/oder Kugel - GG - niedere(r) Engel ohne Flügel
11GG1923|Engel mit Fackel(n) - GG - niedere(r) Engel ohne Flügel
11GG1924|Engel mit Weihrauchfaß - GG - niedere(r) Engel ohne Flügel
11GG1925|Engel mit Kelch - GG - niedere(r) Engel ohne Flügel
11GG1926|Engel mit anderen Gegenständen, z.B. Waffen - GG - niedere(r) Engel ohne Flügel
11GG193|weibliche Engel - GG - niedere(r) Engel ohne Flügel
11GG194|Engel in nicht-menschlicher Gestalt - GG - niedere(r) Engel ohne Flügel
11GG1941|Engel als Lichtstrahlen - GG - niedere(r) Engel ohne Flügel
11H|Heilige
11H(...)|männliche Heilige (mit NAMEN)
11H(...)0|männliche Heilige (mit NAMEN) - ein männlicher Heiliger, der in einer Gruppe dargestellt ist
11H(...)1|männliche Heilige (mit NAMEN) - besondere Darstellungsformen eines männlichen Heiligen
11H(...)11|männliche Heilige (mit NAMEN) - ein männlicher Heiliger als Patron, Beschützer, Fürsprecher
11H(...)119|männliche Heilige (mit NAMEN) - ein männlicher Heiliger beschützt Gläubige mit seinem Mantel (Schutzmantel)
