5|抽象的な考えと概念
71A521|神がアダムとイブに行為の責任を問う
71A522|アダムとイブが神から隠れる
71A53|神に咎められるアダムとイブ
71A531|(一人で) 神に咎められるアダム; アダムはイブを非難する
71A532|(一人で) 神に咎められるイブ; イブは蛇を非難する
71A54|アダムとイブの罰
71A541|蛇は神に呪われ, 這い回り塵を喰らう刑を言い渡される
71A542|イブの罰 (一人)
71A543|アダムの罰 (一人)
71A55|アダムとイブは神によって服を着せられる
71A551|アダムとイブは道具 (通例鋤と紡錘)を受け取る
71A6|アダムとイブの楽園追放 (創世記 3:22-24)
71A61|神はアダムとイブを楽園から追い出し, 生命の木を炎の剣を持つ天使に守らせる
71A611|天使が(炎の)剣を持ってアダムとイブを楽園の外に追い出す
71A62|光るケルビムたちに入口を守られたエデンの外のアダムとイブ
71A63|苦行を行うアダムとイブ　
71A631|アダムとイブの風呂の浄化
71A7|アダムとイブの労働; カインとアベルの幼児期 (創世記 4:1-2)
71A71|妊娠するイブ
71A711|カインの誕生
71A7111|風呂, イブの清めの儀式
71A712|アベルの誕生
71A7121|アダムがカインの助けとともにアベルを入浴させる
71A7122|イブがアベルに乳を飲ませる; カインは顔を背ける i.e. カインの嫉妬
71A72|アダム (とイブ) が農業に従事する
71A721|アダムは農業に従事し, イブは糸を紡ぎ通例子供と遊ぶ
71A722|アダムは農業に従事し, イブは子供達に乳をやる
71A723|天使がアダムに農業を教える
71A73|カインとアベルの教育, しつけ
71A731|カインとアベルは父の手伝いを学ぶ; カインは農耕, アベルは牧畜
71A732|(一人で) 働くカイン, 農耕
71A733|(一人で) 働くアベル, 牧畜
71A8|カインとアベルの物語 (創世記 4:3-17)
71A81|カインとアベルの生贄: アベルは子羊, カインは通例とうもろこし
71A811|神 (または神の手) が現れてアベルに祝福を与える ~ 生贄
71A812|アベルの生贄の煙は天に立ち上り, 一方でカインの生贄の煙は叩き落とされる
71A8121|アベルの生贄の煙は天に立ち上り, 一方でカインの生贄の煙は叩き落とされ, 神はアベルを祝福する
71A813|天使はアベルの子羊を受け取り, 悪魔がカインを手助けする
71A814|アベルの生贄 (単体)
71A815|カインの生贄 (単体)
71A82|アベルの殺害: カインは石, 棍棒または顎骨, あるいは鋤または別の物を武器にしてアベルを殺す
71A821|アベルの死
71A822|カインはアベルを埋葬する
71A823|アダムとイブがアベルの死体を発見し, その上で嘆き悲しむ
71A824|アダムとイブがアベルを埋葬する
71A83|カインの呪いと逃亡
71A831|主はカインに己の行いの責任を問う
71A8311|アベルの血が復讐を叫ぶ
71A832|カインの呪い
71A8321|神はカインにしるしをつける
71A833|カインの逃亡
71A834|後悔するカイン
71A84|カインの晩年
71A841|カインとその家族
71A8411|エノクの誕生
71A842|エノクの町を建てるカイン
71A9|アダムとイブの晩年と死, そしてセトの物語 (創世記 4:25, 5:1-8)
71A91|アダムとイブの晩年と死
71A911|セトの誕生
71A912|アダムの死
71A9121|アダムの埋葬
71A9122|アダムの墓
71A913|イブの死
71A92|セトの物語
71B|カインとセトの子孫からアブラハムまでの創世記
71B1|カインの子孫, カイン派 (創世記 4:18-24)
71B11|カインの息子, エノクの物語
71B12|イエレドの物語
71B13|マハラルエルの物語
71B14|メトシェラの物語
71B15|メトシェラの物語, レメクの物語
71B151|レメクがカインを殺す: カインはトバル・カインに狩りを手伝ってもらっている盲目のレメクの矢によって偶然射殺される
71B1511|ひどく腹を立てたレメクがトバル・カインを殺す
71B152|レメクがアダとツィラという2人の妻に、老人と若者 (カインとトバル・カイン)を殺したことを告白する
71B1521|レメクは妻達に強く非難または叩かれる
71B16|レメクの子供達
71B161|家畜を飼い天幕に住む者の先祖となったヤバルの物語
71B162|竪琴や笛を奏でる者すべての先祖となったユバルの物語
71B163|最初の鍛冶屋トバル・カインの物語
71B2|セトの子孫 (創世記 4:26, 5:9-32)
71B21|エノシュの物語
71B22|ケナンの物語
71B23|マハラルエルの物語
71B24|イエレドの物語
71B25|イエレドの息子であり, 文字を発明し初めて一年を季節と12ヶ月に分けたエノクの物語
71B251|エノクの翻訳
71B26|メトシェラの物語
71B27|メトシェラの息子レメクの物語
71B271|ノアの誕生　
71B3|ノアの物語
71B31|洪水の前 (創世記 6-7:4)
71B311|人類の不道徳; 不道徳な者達は通例飲み食いしたり大騒ぎする様子が描かれる
71B3111|大地の巨人 ~ 人類の不道徳
71B312|神が人類の堕落を見る
71B3121|神が洪水を宣言し, ノアに箱舟を作るよう命令する
71B32|箱舟の建設と船出 (創世記 7:5-9)
71B321|箱舟を建設するノア
71B3211|息子の手伝いとともに箱舟を作るノア
71B3212|箱舟はピッチで覆われている ~ ノア
71B3213|悪魔が箱舟建設の邪魔をしようとする
71B322|箱舟の船出
71B3221|二つずつ動物達が集まる ~ ノアの物語
71B3222|動物達が箱舟に入る
71B3223|ノアとその家族が箱舟に入る
71B323|神が箱舟を閉める ~ ノアの物語
71B33|洪水と人類の破滅 ~ ノアの物語 (創世記 7:10 - 8:17)
71B331|箱舟が水の上を漂っているが, 地上の肉なるものは滅ぼされる ~ ノアの物語
71B3311|水の上を漂う箱舟 (目に見えない人類滅亡)
71B33111|箱舟 ~ ノアの物語
71B3312|洪水による人類滅亡 (不在またはかろうじて見える箱舟)
71B332|ノアの箱舟がアララト山の上で休み始める
71B3321|ノアが烏を放し, それは帰ってこなかった
71B3322|ノアが鳩を放す
71B33221|鳩がオリーブの枝をくわえて帰る ~ ノアの物語
71B33222|戻ってこない鳩 ~ ノアの物語
71B3323|悪魔が逃げ出して箱舟の底に穴を開けたが, ミドリヘビが尻尾で隙間を塞いで箱舟が沈まないようにする
71B34|下船 ~ ノアの物語 (創世記 8:18 - 9:17)
71B341|神がノアに下船し箱舟を開けるよう命じる
71B342|ノアとその家族, 肉なるものたちが箱舟を降りる (時折約束の虹が合わさる)
71B3421|動物たちが箱舟を去る ~ ノアの物語
71B343|ノアの生贄; もしかすると子羊, 鳩と牡羊など様々な動物が捧げられる (時折約束の虹が合わさる)
71B3431|神はノアを祝福し、彼と契約を立てる
71B34311|神とノアの契約: 二度と洪水によって滅ぼすことはしない; この契約のしるしとして, 神は雲の中に虹を置く
71B344|箱舟の遺跡 ~ ノアの物語
71B35|ぶどう農家としてのノア (創世記 9:18-27)
71B351|ワイン用のぶどう畑を作るノア
71B3511|ワインを試飲するノア
71B352|酔っ払うノア
71B3521|嘲笑われるノア: ハムは父が (部分的に) 裸で, 家の外で (または天幕の中で, もしくはぶどう畑の小屋で) 寝ているのを見つける; ハムは兄弟たちに告げる
71B35211|セムとヤフェトは父ノアの裸を覆う; ハムは通例近くに立ってノアを嘲笑う
71B352111|ノアのもとへ後ろ向きに歩いて行くセムとヤフェト
71B3522|ノアはまどろみから目を覚ますと, ハムの息子カナンを呪う
71B35221|ノアはハム (とカナン)を呪う
71B353|ノアは息子セムとヤフェトを祝福する
71B36|ノアの晩年 (創世記 9:28-29)
71B361|ノアはくじ引きによって,彼の息子たちに世界を分配し, 彼らは自分の取り分に満足することを固く誓った
71B362|ノアの死と埋葬
71B37|ノアの子孫 (創世記 10, 11:10-26)
71B371|勇敢な狩人ニムロドの物語
71B3711|ニネヴェの建設
71B4|バベルの塔の物語 (創世記 11:1-9)
71B41|シンアルへの旅
71B42|バベルの塔
71B421|バベルの塔の建設; もしかするとニムロドがいて, 建設を監督したり手伝ったりしているかもしれない
71B4211|神がバベルの塔を訪れる
71B422|バベルの塔の破壊
71B4221|言葉の混乱と人々の全地への離散 ~ バベルの塔の物語
71B42211|バベルの塔の破壊
71C|創世記: 族長たち
71C1|アブラムの物語
71C11|アブラムの物語 (第一部)
71C111|アブラムの若い頃 (創世記 11:29-32)
71C1111|アブラムはサライと結婚する
71C1112|テラはアブラムとサラ, ロトをウルからハランの街へ連れて行く
71C1113|アブラムは父の偶像を破壊する
71C11131|テラはアブラムをニムロド王のところへ連れて行き, 王は彼をカルデア人の火 (または火のついた炉)に投げ込むと宣告する; 彼は神によって奇跡的に助けられる
71C11132|奇跡を目撃したアブラムの兄弟ハランも火の試練を受けることを決めるが, すぐに焼き尽くされる
71C1114|テラの死
71C112|神と話すアブラム (一般に)
71C113|アブラムはカナンへ向かう (創世記 12:1-9)
71C1131|アブラムの召命
71C1132|アブラムはサライとロト, 彼の財産を携えてカナン地方へ出発する
71C1133|カナンのアブラム
71C11331|アブラムはシケムの聖所, モレの樫の木のところに来て, 最初の祭壇を築く
71C11332|アブラムは天幕をベテルに移し, 2つ目の祭壇を築く
71C114|エジプトのアブラム (創世記 12:10-20)
71C1141|飢饉がアブラムをカナンからエジプトへと駆り立てる
71C1142|アブラムはサライに指示する: 'あなたはわたしの妹だ'
71C1143|サライはエジプト人の関心を集め, ファラオの宮廷に召し入れられる
71C1144|サライとファラオ
71C11441|アブラムはファラオから贈り物を賜る
71C11442|神はファラオを疫病にかからせる ~ アブラムの物語
71C11443|アブラムはファラオの前に召喚され, サライと共にエジプトを去るよう命じられる
71C1145|アブラムはサラ, ロト, そして財産を携えエジプトを去る
71C1146|エジプト人に天文学を教えるアブラム
71C115|アブラムとロトの別れ (創世記 13)
71C1151|カナンへ戻った後, アブラムは再びベテルで神を礼拝する
71C1152|羊飼いたちの争い ~ アブラムの物語
71C1153|アブラムはロトに行く先の土地の選択を委ねる
71C1154|ロトはソドムに落ち着く
71C11541|ソドムの民の邪悪さ
71C116|王たちの戦いとロトの救出 (創世記 14:1-17)
71C1161|エラムの王と3人の同盟する王たちは, 反逆した5人のペンタポリスの王たちと戦争を始める
71C1162|エラムの王と3人の同盟する王たちは, 反逆した5人のペンタポリスの王たちを打ち負かし, 5人の王のうち2人は天然アスファルトの穴に落ち, 残りの3人は山へ逃れる
71C1163|ソドムとゴモラは略奪される; ロトは連れ去られる
71C1164|ロトが捕虜になったことを逃げ延びた一人の男がアブラムに知らせる
71C1165|アブラムは共に住むすべての男たちに呼びかけ, 4人の王を追うため出発する
71C11651|4人の王たちは夜に襲撃され, アブラムに敗れる
71C11652|アブラムはロトを解放し, 盗まれた財産を取り戻し勝ち誇って帰還する
71C117|パンと葡萄酒を持ってきた,いと高き神の祭司でありサレムの王メルキゼデクとアブラムの会合 (創世記 14:18-20)
71C1171|メルキゼデクはアブラムを祝福する
71C1172|アブラムはメルキゼデクに取り返した戦利品の十分の一を贈る
71C1173|アブラムはソドムの王に会う (創世記 14:21-24)
71C11731|アブラムは彼の戦利品の分前を拒否したが, 彼と共に戦った人々が受け取ることは許す
71C118|神とアブラムの契約 (創世記 15)
71C1181|神はアブラムの子孫が星の数ほど増えると約束する
71C11811|星を数えるアブラム
71C1182|神のアブラムとの契約は生贄によって保証される
71C11821|アブラムは動物を持ってくる ~ 生贄
71C118211|アブラムは鳥以外の動物 (生贄)を真っ二つに切り裂く
71C11822|アブラムは死体を狙って降りてくる鳥たちを追い払う
71C11823|アブラムは眠りに落ちる ~ 生贄
71C11824|夜に煙を吐く炉と燃える松明の光景 ~ アブラムの生贄
71C119|アブラムとハガル (創世記 16)
71C1191|アブラムはハガルを娶る
71C11911|サライがアブラムの元へハガルを連れて行き, ハガルは通例ベッドに横たわっている
71C1192|子供を連れたハガルは不妊のサライをひどく嫌う
71C11921|サライはアブラムに文句を言う
71C1193|サライに冷遇されるハガル
71C11931|ハガルは砂漠に逃亡する
71C11932|天使がシュル街道に沿う泉でハガルに会い, 戻るよう彼女を説得する
71C1194|ハガルがアブラムの元へ戻る
71C11941|イシュマエルの誕生
71C12|アブラムの物語 (第二部)
71C121|割礼, 契約の証 ~ アブラムの物語 (創世記 17)
71C1211|アブラムは割礼される
71C1212|イシュマエルと全ての家族の男性は割礼される
71C122|3人の天使(男たち)の訪れ ~ アブラムの物語 (創世記 18)
71C1221|アブラムが彼の家 (または天幕)の入り口に座っていると, 3人の天使たちが彼の前に現れる
71C1222|アブラムは天使たちの前にひざまずく
71C1223|アブラムは水を取ってきて天使たちの足を洗う
71C1224|3人の天使たちをもてなすアブラム
71C12241|サライはケーキを焼くように言われる
71C12242|アブラムは仔牛と他の食べ物の準備を命令する　
71C12243|息子の契約が更新される; それを立ち聞きしたサライは訝しげに笑う
71C122431|アブラムに非難されるサライ
71C1225|出発する天使アブラムを見送るアブラム
71C12251|神はアブラムにソドムとゴモラの滅亡が差し迫っていることを説明し, もしアブラムが10人の正しい者を見つけることができれば滅ぼさないことを約束する
71C123|ロトと2人の天使たち (創世記 19:1-23)
71C1231|ソドムに向かう2人の天使たち
71C1232|天使たちはロトが街の門のところに座っているのを見つける; 彼は立ち上がって彼らの前にひざまずく
71C1233|天使たちをもてなすロト
71C12331|ロトの家で食事が天使たちのために用意される
71C12332|群衆がロトの家を取り囲む
71C12333|ロトが群衆を宥めようとする
71C12334|2人の天使たちが介入しロトの家を取り囲む群衆に目つぶしする
71C1234|天使たちはロトに街を去るよう助言する
71C12341|ロトは義理の息子たちに警告するが嘲られる
71C12342|天使たちはロトに早く街を去るよう説得する
71C124|ソドムとゴモラの滅亡: ロトと彼の家族は持ち物を持ってツォアルに逃げる; 天使が道を示すかもしれない (創世記 19:24-29)
71C1241|ロトの妻は後ろを振り返り, 塩の柱になる
71C1242|燃えるソドムとゴモラ
71C12421|アブラムはソドムとゴモラの滅亡を目撃する
71C125|ロトと娘たち (創世記 19:30-38)
71C1251|街の崩壊を目にしてツォアルでの安全を恐れたロトは, 娘たちを連れて山の洞穴に逃げる
71C1252|ロトの娘たちが父親を酔わせる
71C12521|ロトの娘たちが順番に父親と床を共にする
71C1253|ロトの娘たちがモアブとベン・アミを授かる
71C126|アブラムとゲラルの王アビメレク (創世記 20)
71C1261|アブラムのゲラルへの旅
71C1262|死を恐れ, アブラムが妻について '彼女は私の妹だ'と言う; アビメレクはサライを召し入れる
71C1263|アビメレクの夢: 神が彼の前に現れる
71C12631|アビメレクが彼の夢について家来たちに聞かせる
71C1264|アブラハムがアビメレクに呼び出される; サラは銀一千シェケルと他の贈り物を受け取ったアブラハムの元へ戻る
71C1265|アビメレクのために祈るアブラハム
71C12651|アビメレクの癒し
71C127|イサクの誕生 (創世記 21:1-8)
71C1271|イサクの割礼
71C1272|イサクに乳を与えるサラ
71C1273|アブラハムによる盛大なイサクの乳離れの祝い
