0|抽象，非具象芸術
11F4421|(立ち姿の)聖母マリアとその傍らの(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 立ち姿の幼少期のキリスト
11F4422|(立ち姿の)聖母マリアとその傍らの(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 座り姿の幼少期のキリスト
11F4423|(立ち姿の)聖母マリアとその傍らの(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; 横たわる幼少期のキリスト
11F4424|(立ち姿の)聖母マリアとその傍らの(支えなしまたは彼女のに寄りかかって立つ)幼少期のキリスト; ひざまずく幼少期のキリスト
11F45|(地面に)ひざまずく聖母マリアと,その前の幼少期のキリスト
11F451|(地面に)ひざまずく聖母マリアと,その前で立つ幼少期のキリスト
11F452|(地面に)ひざまずく聖母マリアと,その前で座る幼少期のキリスト
11F453|(地面に)ひざまずく聖母マリアと,その前で横たわる幼少期のキリスト
11F454|(地面に)ひざまずく聖母マリアと,その前でひざまずく幼少期のキリスト
11F46|聖母マリアの肩に座る幼少期のキリスト
11F461|立ち姿の聖母マリアとその肩に座る幼少期のキリスト
11F462|王座に就かせられた座り姿の聖母マリアと, その肩に座る幼少期のキリスト
11F463|地面に座る聖母マリアとその肩に座る幼少期のキリスト
11F464|ひざまずく聖母マリアとその肩に座る幼少期のキリスト
11F5|空に浮かぶ、または雲の上のマドンナ(すなわちキリストを伴う聖母マリア)
11F6|他者を伴うまたは囲まれるマドンナ(すなわちキリストを伴う聖母マリア)
11F61|聖人に囲まれるマドンナ
11F611|聖なる対話
11F612|'Ueber dich freut sich'
11F62|特定の種類のマドンナと他者
11F621|レジーナ・チェリ', 'レジーナ・アンジェロールム', 'マエスタ' ~ マドンナ
11F6211|レジーナ・チェリ', 'レジーナ・アンジェロールム', 'マエスタ', 洗礼者ヨハネ
11F622|'Virgo inter Virgines'
11F623|ロザリオのマドンナ
11F624|慈悲の聖母マリア
11F63|(例えば協会などの)守護者としてのマドンナ(または幼少期のキリストを伴わない聖母マリア)
11F7|特定の局面 ~ マドンナの表現 (※二次表記に限る)
11F71|幼少期のキリストの特定の局面 ~ マドンナの表現(※二次表記に限る)
11F711|話すまたは祝福を与えるジェスチャーをする幼少期のキリスト ~ マドンナの表現
11F712|絵を見る幼少期のキリスト ~ マドンナの表現
11F713|聖人(たち)と寄進者(たち)に目をやる幼少期のキリスト ~ マドンナの表現
11F714|眠る幼少期のキリスト ~ マドンナの表現
11F715|何かを握る幼少期のキリスト, 例えばリンゴ、鳥、サクランボ、十字架、ぶどう、紙の風車 ~ マドンナの表現
11F7151|何かを誰かに手渡す幼少期のキリスト ~ マドンナの表現
11F7152|何かを受け取り、得ようとする幼少期のキリスト ~ マドンナの表現
11F716|食べる幼少期のキリスト ~ マドンナの表現
11F717|遊ぶ幼少期のキリスト ~ マドンナの表現
11F7171|天使と遊ぶ幼少期のキリスト ~ マドンナの表現
11F7172|子羊と遊ぶ幼少期のキリスト ~ マドンナの表現
11F72|特定の局面の幼少期のキリストと聖母マリア ~ マドンナの表現 (※二次表記に限る)
11F721|聖母マリアを見るまたは頼る幼少期のキリスト ~ マドンナの表現
11F722|聖母マリアに手を差し出す幼少期のキリスト; 彼女に何かを見せる ~ マドンナの表現
11F723|聖母マリアのヴェールを持ち上げ、ドレスを掴み、手をマリアの胸に置く幼少期のキリスト ~ マドンナの表現
11F724|マリアの首に腕をまわす幼少期のキリスト ~ マドンナの表現
11F725|聖母マリアの頬に頬をくっつける、またはキスをする幼少期のキリスト ~ 聖母マリアの表現
11F726|乳を飲むまたは飲み始める幼少期のキリスト, 例えば胸をさらけ出す聖母マリア ~ マドンナの表現
11F7261|アブラクタティオ'; 飲まないキリストとマリアのむき出しの胸 ~ マドンナの表現
11F7269|マリアの授乳を拒否する幼少期のキリスト ~ マドンナの表現
11F727|インク壺を持つ聖母マリアと書く姿の幼少期のキリスト ~ マドンナの表現
11F728|聖母マリアに戴冠する幼少期のキリスト ~ マドンナの表現
11F73|特定の局面の聖母マリア ~ ~ マドンナの表現(※二次表記に限る)
11F731|何かを掴む聖母マリア, e.g. リンゴ, ぶどうの房, 十字架, ゴシキヒワ ~ マドンナの表現
11F732|階段に座るマドンナ ~ マドンナの表現
11F74|他の特定の局面のマドンナの表現
11F741|子供の姿の洗礼者ヨハネ~ マドンナの表現(※二次表記に限る)
11F8|奇跡, 出現, 伝説 ~ 聖母マリア
11F81|聖母マリアまたはマドンナの奇跡の像
11F81(...)|聖母マリアまたはマドンナの奇跡の像 (御名とともに)
11F82|聖母マリアの出現
11F83|伝説と奇跡 ~ 聖母マリア
11F831|魂を悪魔に売った修道士テオフィロスの伝説 (聖母マリアの伝説)
11F8311|テオフィロスの懺悔
11F832|聖体を運んだあと燃やされたユダヤの少年の伝説; 彼は聖母マリアに守られた
11F833|悪魔に身を捧げられた子供を救う聖母マリア
11F834|ロレートから来たナザレの家 (聖母マリアの奇跡)
11F9|聖母マリア信仰
11F91|聖母マリアの聖心
11F92|聖母マリアの聖遺物
11FF25|スターバト・マーテル' - FF - 'スターバト・マーテル', 頭像または胸像
11FF251|すすり泣く聖母マリア - FF - 'スターバト・マーテル', 頭像または胸像
11FF252|剣に貫かれる聖母マリア - FF - 'スターバト・マーテル', 頭像または胸像
11FF253|聖母マリアとキリストの受難具 - FF - 'スターバト・マーテル', 頭像または胸像
11FF412|立ち姿の (または半身の) 聖母マリア, (マリアの左にいる)腕の中の幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4121|立ち姿の (または半身の) 聖母マリア, (マリアの左にいる)腕の中で立つ幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4122|立ち姿の (または半身の) 聖母マリア, (マリアの左にいる)腕の中で座る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF41223|エレオウサ', 'グリフィロウサ' ~ マドンナ - FF - マリアの右にいる幼少期のキリスト
11FF4123|立ち姿の (または半身の) 聖母マリア, (マリアの左にいる)腕の中で横たわる幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF41231|ガラクトトロファウサ' ~ マドンナ - FF - マリアの右にいる幼少期のキリスト
11FF422|座るまたは王座に就かせられた聖母マリアと, (マリアの左で)膝に乗る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4221|座るまたは王座に就かせられた聖母マリアと, (マリアの左で)膝に立つ幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4222|座るまたは王座に就かせられた聖母マリアと, (マリアの左で)膝に座る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4223|座るまたは王座に就かせられた聖母マリアと, (マリアの左で)膝に寝る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF432|地面に座る聖母マリアと, (マリアの左で)膝に乗る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4321|地面に座る聖母マリアと, (マリアの左で)膝に立つまたは足を踏み入れる幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4322|地面に座る聖母マリアと, (マリアの左で)膝に座る幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4323|地面に座る聖母マリアと, (マリアの左で)膝に横たわる幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF4324|地面に座る聖母マリアと, (マリアの左で)膝でひざまずく幼少期のキリスト - FF - マリアの右にいる幼少期のキリスト
11FF44|マドンナ: (立ち姿の)聖母マリアと直立する (または彼女にもたれかかる)幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF441|マドンナ: (立ち姿の)聖母マリアとその前の (直立するまたは彼女にもたれかかる) 幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4411|マドンナ: (立ち姿の)聖母マリアとその前の (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 立ち姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4412|マドンナ: (立ち姿の)聖母マリアとその前の (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 座り姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4413|マドンナ: (立ち姿の)聖母マリアとその前の (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 寝姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4414|マドンナ: (立ち姿の)聖母マリアとその前の (直立する) 幼少期のキリスト; ひざまずく幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF442|マドンナ: (立ち姿の)聖母マリアとその傍らの (直立するまたは彼女にもたれかかる) 幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4421|マドンナ: (立ち姿の)聖母マリアとその傍らの (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 立ち姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4422|マドンナ: (立ち姿の)聖母マリアとその傍らの (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 座り姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4423|マドンナ: (立ち姿の)聖母マリアとその傍らの (直立するまたは彼女にもたれかかる) 幼少期のキリスト; 寝姿の幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11FF4424|マドンナ: (立ち姿の)聖母マリアとその傍らの (直立するまたは彼女にもたれかかる) 幼少期のキリスト; ひざまずく幼少期のキリスト - FF - 座り姿または王座に就かせられる聖母マリア
11G|天使たち
11G1|9つの天使の群れ, 天使のヒエラルキー
11G11|セラフィム
11G12|ケラビム
11G13|(物を持つ)座天使 ~ 天使たちのヒエラルキー
11G14|(笏と剣を持った)主天使 ~ 天使たちのヒエラルキー
11G15|(キリストの受難具を持つ) 力天使 ~ 天使たちのヒエラルキー
11G16|(炎の剣を持つ)能天使 ~ 天使たちのヒエラルキー
11G17|(剣,笏,十字架を持った)権天使 ~ 天使たちのヒエラルキー
11G18|7人の大天使たち
