4|社会, 文明, 文化
41D221(BOATER)|被り物: カンカン帽
41D221(BOWLER)|被り物: 山高帽
41D221(CAP)|被り物: キャップ
41D221(CLOCHE HAT)|被り物: クローシュハット
41D221(FONTANGE)|被り物: フォンタンジュ
41D221(HAT)|被り物: 縁のある帽子
41D221(HOOD)|被り物: 頭巾
41D221(MORNING CAP)|被り物: モーニングキャップ
41D221(TOP HAT)|被り物: シルクハット
41D221(TOQUE)|被り物: トーク
41D221(TRICORNE)|被り物: 三角帽子
41D221(TURBAN)|被り物: ターバン
41D2211|ベール
41D2212|フリジア帽
41D222|首回りの装飾品 ~ 衣類
41D222(...)|首回りの装飾品 ~ 衣類 (名称を伴う)
41D222(COLLAR)|首回りの装飾品: 襟
41D222(JABOT)|首回りの装飾品: ジャボ
41D223|上半身のための衣類
41D223(...)|上半身のための衣類 (名称を伴う)
41D223(BLOUSE)|上半身のための衣類: ブラウス
41D2231|胸部またはデコルテを覆う衣類の一部
41D2231(...)|胸部またはデコルテを覆う衣類の一部 (名称を伴う)
41D224|袖
41D225|手袋, ミトン等
41D225(...)|手袋, ミトン (名称を伴う)
41D2251|manus velatae' (布で覆われた手)
41D2252|マフ
41D23|下半身のための衣類
41D231|ズボン, 半ズボン
41D231(...)|ズボン, 半ズボン, 等 (名称を伴う)
41D2311|コッドピース (性器の覆い)
41D232|スカート
41D232(...)|スカート (名称を伴う)
41D2321|エプロン
41D233|脚や足の衣服
41D2331|ストッキング, 靴下
41D2332|靴, サンダル
41D23321|ブーツ
41D23322|スリッパ
41D2333|木靴, 下駄
41D2334|不均等な靴を履かされた足
41D23341|靴とスリッパ (不均等な靴を履かされた足)
41D23342|靴を履いた片足, 素足の他方
41D2335|付属品 ~ 靴, 例: インソール, 靴べら, 靴磨き用クリーム
41D2339|裸足の
41D24|特別な目的のための衣類 
41D241|公式行事のための衣類
41D2411|高位の人の属性
41D242|社交服, フェスティブアタイア
41D2421|マスカレード, 仮面舞踏会
41D2422|正装を必要とする会合
41D2423|歴史的衣装
41D24231|野外劇で使われる衣裳
41D243|職業上の衣類
41D244|ファンタジーの衣裳
41D249|彫像の衣類
41D25|下着類と寝間着
41D251|下着類
41D2511|身体全体のための下着類
41D2511(...)|身体全体のための下着類 (名称を伴う)
41D2512|上半身用の下着類
41D2512(...)|上半身用の下着類 (名称を伴う)
41D2512(CORSET)|上半身用の下着類: コルセット
41D2513|下半身用の下着類
41D2513(...)|下半身用の下着類 (名称を伴う)
41D2513(BLOOMERS)|下半身用の下着類: ブルマ
41D2513(CORSET)|下半身用の下着類: コルセット
41D252|寝間着
41D252(...)|寝間着 (名称を伴う)
41D252(NIGHT-CAP)|寝間着: ナイトキャップ
41D252(NIGHT-GOWN)|寝間着: ナイトガウン
41D253|詰め物
41D253(...)|詰め物 (名称を伴う)
41D26|付属品 (~ 衣類)
41D26(...)|他の衣類の付属品 (名称を伴う)
41D261|ハンカチ
41D262|うちわ
41D2621|扇ことば
41D263|杖
41D2631|傘
41D2632|パラソル, サンシェード
41D264|衣類用ファスナー
41D2641|ピン
41D26411|留め金, 安全ピン
41D2642|ボタン
41D26421|びょう, カフスボタン
41D2643|衣服の留め金具; スナップボタン
41D2644|バックル
41D26441|ファスナー
41D2645|留め金, サスペンダー
41D2646|ジッパー
41D265|衣類の装飾部
41D2651|刺繍 (装飾)
41D26511|金糸の刺繍
41D26512|ビーズ刺繍
41D2652|レース
41D2653|縁飾り, リボン, 組紐 
41D2654|蝶結び (衣類の装飾部)
41D2655|コサージュ
41D2656|ベルト, ガードル, ウエストバンド
41D2657|ショルダーベルト, 弾薬帯
41D266|装飾品, 宝石
41D2661|ネックレス
41D26611|真珠; 真珠のネックレス
41D26612|ペンダント, 小さな装身具, 'breloque'
41D2662|ブレスレット, 腕輪
41D26621|アンクレット
41D2663|イヤリング
41D2664|指輪
41D2665|ブローチ, 留め金具, 締め金
41D2666|王冠, ティアラ
41D2668|宝石箱
41D267|財布, 現金行嚢
41D268|バッグ
41D268(...)|バッグ (名称を伴う)
41D269|黒のベルベットまたはサテンマスク, 'loup', 'cachenez'
41D27|ドレーパリー, ひだのある衣服, 'Gewandgebung'
41D271|衣服のはためくひだ, 'Pneumazipfel'
41D28|変装用衣装
41D281|男性のような服を着る女性, 茶番
41D282|女性のような服を着る男性, 茶番
41D283|マスク
41D29|ぼろを纏う
41D3|民族衣装, 地域の衣装
41D4|衣類の手入れと洗濯; 家庭裁縫
41D41|衣類の手入れ, 例: ブラッシング, 打つ, 干す
41D411|衣類を吊るす
41D4111|衣類を衣類用ハンガーに吊るす
41D4112|物干し竿に掛けられた衣類
41D42|洗濯
41D421|洗濯物を吊るして乾かす
41D4211|洗濯物を降ろす
41D4212|洗濯物を広げて乾かす
41D422|漂白する (洗濯)
41D423|絞る
41D424|アイロンをかける
41D4241|アイロン
41D4242|アイロン台
41D425|蒸気をあてる (洗濯)
41D426|アイロンをかける (洗濯)
41D4261|圧搾ローラー
41D427|付属品と器具 ~ 洗濯, 例: 洗濯バサミ, 火力乾燥, (空の) 干し物綱
41D428|洗濯が行われる建物または別棟
41D4281|洗濯場, 家庭洗濯, 洗濯室
41D4282|公共洗濯場
41D43|染色する (衣類)
41D44|家庭裁縫; 衣類のお直し
41D441|裁縫
41D4411|針 ~ 裁縫
41D4412|裁縫箱
41D4413|ミシン
41D442|繕う, 修繕する ~ 衣類
41D4421|かがり, 継ぎ当て
41D443|(他の型の) 針仕事, 例: かぎ針編み, 編む,刺繍をする
41D9|(姿を現す) 衣服を脱ぐ, 裸体の
41D91|男性が衣服を脱ぐ(姿を現す) , 裸体の
41D92|女性が衣服を脱ぐ(姿を現す) , 裸体の
41D921|デコルテ (décolleté)'
41D93|衣服を脱いだ状態で示される
41D94|衣類を捲り上げる
41D99|(人の裸に対し) きまりが悪い
41D991|裸身を隠そうとする
41DD121|モデル, マネキン - DD - 男性モデル
41E|雑多な物体の静物
41E1|関連のある物体の静物
41E2|トロンプ・ルイユ (trompe l'oeil)'
42|家族, 子孫
42A|生殖, 誕生と青年期 (初期)
42A1|生殖と妊娠
42A11|受胎, 懐胎
42A111|避妊、避妊
42A1111|避妊具
42A11111|コンドーム
42A12|妊婦
42A121|胎児
42A13|妊婦の扱いと振る舞い
42A131|仕事からの解放 (妊婦)
42A132|吐き気, 眩暈 (妊婦の)
42A133|(妊婦) 特別な食事を摂る
42A134|怖がる妊婦, 所謂 胎内感応(オランダ語: 'verzien')
42A1341|胎内感応の痕跡を持つ子供
42A14|父性
42A18|受胎能力
42A19|不妊; 子供ができない女
42A190|Sterilità' (リーパ)
42A191|挙児希望
42A192|受胎を誘発し不妊を解消する方法
42A193|避妊
42A2|お産, 出産
42A21|産室
42A211|出産する女性 (分娩)
42A2111|出産する女性 (しゃがむ)
42A2112|出産する女性 (分娩椅子にいる)
42A2119|難産と異常なお産
42A21191|鉗子の使用 (難産と異常なお産)
42A21192|帝王切開 (難産と異常なお産)
42A21193|早産
42A21194|羊膜嚢出産
42A212|新生児
42A2121|呼吸の開始, 産声
42A2122| 臍帯を切る
42A2123|胎盤
42A213|父親に示される新生児
42A214|新生児の最初のケア
42A22|新米母を訪ねる, 分娩訪問
42A221|出産の発表
42A23|産褥の女性がいる家を示す象徴
42A24|助産師, 'accoucheuse'
42A241|産科医, 'accoucheur'
42A25|乳母
42A251|授乳椅子 (オランダ語: 'パン職人mat')
42A252|おくるみの赤ちゃん
42A2521|赤ちゃんをくるむ
42A26|双子
42A261|シャム双生児
42A27|三つ子, 四つ子, 五つ子等
42A27(...)|三つ子, 四つ子, 五つ子等 (兄弟の数 を伴う)
42A28|赤ちゃんが育つ見せかけの場所
42A281|赤ちゃんを連れてくるふりをする人
42A2811|赤ちゃんを連れてくる者としての超自然的な存在
42A2812|赤ちゃんを連れてくる者としての男性
42A2813|赤ちゃんを連れてくる者としての動物
42A29|流産, 中絶
42A291|堕胎医
42A299|動物または怪物を出産する女性 (伝説の)
42A3|母親と赤ちゃんまたは幼児
42A30|母性
42A31|授乳する
42A311|乳母
42A312|動物によって乳を与えられる子供
42A32|赤ちゃんにミルクを飲ませる
42A33|赤ちゃんのおむつの洗濯と交換
42A331|ナプキン (~ 赤ちゃんのおむつの洗濯と交換)
42A34|赤ちゃんを入浴させる
42A35|赤ちゃんに服を着せる
42A351|赤ちゃんの髪を梳かす
42A36|赤ちゃんと遊ぶ母親 (戯れる, あやす, 優しく歌う)
42A361|赤ちゃんを優しく揺する
42A362|子守唄を歌う
42A37|眠っている子供を見る
42A4|幼児, 赤ちゃん
42A41|赤ちゃんのための家具
42A411|ゆりかご, ベビーベッド
42A412|乳幼児用椅子
42A413|ベビーサークル
42A42|乳母車, ベビーカー
42A421|子供を運ぶ他の方法
42A4211|子供を背負う
42A4212|子供を抱っこする, またがる
42A4213|子供を頭に乗せて運ぶ (ゆりかごまたは籠の中)
42A43|歯列, 生歯
42A431|最初の歯
42A432|おしゃぶり
42A44|子供を離乳させる
42A441|おしゃぶり (離乳)
42A45|ガラガラ (子供のおもちゃ)
42A46|子供の世話
42A461|子育て
42A462|ベビーシッター
42A5|子供 (家で)
42A50|Pueritia' (リーパ)
42A51|よちよち歩きの小児
42A511|歩行を学ぶ, 最初の一歩
42A5111|腹這いで進む (よちよち歩きの小児 歩行を学ぶ)
42A5112|歩行を学ぶための器具, 歩行器
42A5113|ヘッドプロテクター (~ 歩行を学ぶ)
42A512|話すことを学ぶ
42A52|遊ぶよちよち歩きの小児; 一人遊びをする子供
42A53|子供の衛生管理
42A54|悪い習慣
42A541|爪を噛む
42A542|親指しゃぶり
42A55|子供時代の悲しみ
42A551|慰められた子供時代の悲しみ
42A552|家出した子供
42A5521|家出した子供の捜索と発見
42A553|家出した子供の帰還
42A56|成長する
42A561|子供を測定する
42A562|歯を取り除く子供
42A57|子供によって為される任務
42A571|お使いをする子供
42A58|もじゃもじゃ頭のピーター, 'Struwwelpeter'
42A59|ブギーマン, お化け
42AA19|不妊; 子供ができない女 - AA - 不妊の男性
42AA190|Sterilità' (リーパ) - AA - 不妊の男性
42AA191|挙児希望 - AA - 不妊の男性
42AA192|受胎を誘発し不妊を解消する方法 - AA - 不妊の男性
42AA213|父親に示される新生児 - AA - 母親に
42AA36|赤ちゃんと遊ぶ母親 (戯れる, あやす, 優しく歌う) - AA - 赤ちゃんと遊ぶ母親以外の他の人
42AA361|赤ちゃんを優しく揺する - AA - 赤ちゃんと遊ぶ母親以外の他の人
42AA362|子守唄を歌う - AA - 赤ちゃんと遊ぶ母親以外の他の人
42AA46|子供の世話 - AA - 他の子供たちによって
42AA461|子育て - AA - 他の子供たちによって
42AA462|ベビーシッター - AA - 他の子供たちによって
42AA5|子供 (家で) - AA - 少女
42AA50|Pueritia' (リーパ) - AA - 少女
42AA51|よちよち歩きの小児 - AA - 少女
42AA511|歩行を学ぶ, 最初の一歩 - AA - 少女
42AA5111|腹這いで進む (よちよち歩きの小児 歩行を学ぶ) - AA - 少女
42AA5112|歩行を学ぶための器具, 歩行器 - AA - 少女
42AA5113|ヘッドプロテクター (~ 歩行を学ぶ) - AA - 少女
42AA512|話すことを学ぶ - AA - 少女
42AA52|遊ぶよちよち歩きの小児; 一人遊びをする子供 - AA - 少女
42AA53|子供の衛生管理 - AA - 少女
42AA54|悪い習慣 - AA - 少女
42AA541|爪を噛む - AA - 少女
42AA542|親指しゃぶり - AA - 少女
42AA55|子供時代の悲しみ - AA - 少女
42AA551|慰められた子供時代の悲しみ - AA - 少女
42AA552|家出した子供 - AA - 少女
42AA5521|家出した子供の捜索と発見 - AA - 少女
42AA553|家出した子供の帰還 - AA - 少女
42AA56|成長する - AA - 少女
42AA561|子供を測定する - AA - 少女
42AA562|歯を取り除く子供 - AA - 少女
42AA57|子供によって為される任務 - AA - 少女
42AA571|お使いをする子供 - AA - 少女
42AA58|もじゃもじゃ頭のピーター, 'Struwwelpeter' - AA - 少女
42AA59|ブギーマン, お化け - AA - 少女
42B|子供を持つ親
42B1|親心
42B11|父の愛
42B111|父と息子 (息子達) (父の愛)
42B112|父と娘 (娘達) (父の愛)
42B113|父と息子 (息子達)と娘 (娘達)  (父の愛)
42B12|母の愛
42B121|母と息子 (息子達) (母の愛)
42B122|母と娘 (娘達)(母の愛)
42B123|母と息子 (息子達)と娘 (娘達) (母の愛)
42B2|親心の欠乏
42B20|Oblivione d'amore verso i figliuoli' (リーパ)
42B21|子供を勘当する
42B22|里親
42B221|継父
42B222|継母
42B29|子供を殺す (親心の欠乏)
42B3|捨て子 (と養子縁組)
42B31|子供を見捨てる、遺棄する
42B311|母親から引き離された子供
42B312|(生まれたばかりの) 子供を他の子供に取り替える、代替する
42B32|捨て子を発見する
42B321|養子縁組 (子供の)
42B3210|Adottione' (リーパ)
42B322|嫡出子化 (結婚時、子供達はマントの下に隠されている)
42B33|捨て子または養子縁組された子供とその里親
42B34|両親を探す捨て子または養子縁組された子供
42B35|(両親による捨て子の)認知
42B351|(捨て子の) 認識手段
42B36|庶子, 私生子
42B361|父権の調査
42B362|未婚の母親
42B4|子供の親への愛情, 'Pietas filiorum'
42B40|Pietà de figliuoli verso il padre' (リーパ)
42B41|シモンに授乳するペロ ('Caritas romana')
42B42|老いた母に授乳する娘('Caritas romana' のヴァリエーション)
42B43|親を救う (特に親を背負っている様)
42B5|子供の親への愛情の欠乏
42B51|貧しい親, 豊かな子供 (子供の親への愛情の欠乏)
42B52|馬着の物語 (子供の親への愛情の欠乏)
42B53|父の死体を撃つ: 2人の張り合う相続人が裁判官により父の遺体に矢を放つことを強制される; 偽の相続人は躊躇わず矢を放つ、本物の相続人は彼が矢を放つことを知っていたので拒否する
42B54|近親者殺し, 親を殺す(またはその他の近親者を)
42B541|父親を殺す
42B542|母親を殺す
42B6|孤児
42B61|保護者
42B610|Tutela' (リーパ)
42B7|家庭生活
42B71|家での家庭生活
42B72|家族旅行, 休日の
42B73|家庭や休日以外の状況での家庭生活
42B74|家族集団, 特に両親とその子供(子供達)
42B74(...)|家族集団, 特に両親とその子供(子供達) (子供の数 を伴う)
42B741|父親と子供(子供達), 男性と子供(子供達) (家族集団)
42B741(...)|父親と子供(子供達), 男性と子供(子供達) (家族集団) (子供の数 を伴う)
42B7411|父親と息子 (息子達) (家族集団)
42B7411(...)|父親と息子 (息子達) (家族集団) (息子の数 を伴う)
42B7412|父親と娘 (娘達) (家族集団)
42B7412(...)|父親と娘 (娘達) (家族集団) (娘の数 を伴う)
42B742|母親と子供(子供達), 女性と子供(子供達) (家族集団)
42B742(...)|母親と子供(子供達), 女性と子供(子供達) (家族集団) (子供の数 を伴う)
42B7421|母親と息子 (息子達) (家族集団)
42B7421(...)|母親と息子 (息子達) (家族集団) (息子の数 を伴う)
42B7422|母親と娘 (娘達) (家族集団)
42B7422(...)|母親と娘 (娘達) (家族集団) (娘の数 を伴う)
42B75|子供(子供達) と他の家族のメンバー
42B751|祖父母と孫(子供達) (家族集団)
42B76|片親または両親と1人または1人以上の全世代のメンバーを伴う子供(子供達) (家族集団)
42B761|三世代 (家族集団)
42B762|四世代 (家族集団)
42B8|悪童の矯正
42B81|(悪童の) 尻を平手で打つ, 棒で打つ
42B82|(悪童の) 横っ面を殴る
42B821|(悪童の) 耳を引っ張る
42B83|良い子供対悪童
42B831|良い子供
42B832|悪童
42B9|彼の (彼女の) 親元を離れる子供 (若い男性, 若い女性)
42C|青年期
42C1|若い男性の入会
42C2|若い女性の入会
42C21|デビュタント (débutante)'
42C3|乙女対既婚女性
42C4|若者文化
42D|婚約と結婚
42D1|婚約
42D11|プロポーズ, 愛の宣言
42D111|愛する人の前に跪く男性 (ポロポーズをする)
42D119|断られる, 拒否されたポロポーズ
42D12|(結婚の) 合意
42D129|婚約を解消する
42D13|花嫁の両親の許可を求める
42D131|婚姻を熟考する
42D132|仲人
42D14|両親に婚約者を紹介する男性
42D141|男性に花嫁を提示する
