5|Idées et Concepts Abstraits
56F252|Qualités de l'Amour (personnifications) : seconde série
56F2521|'Contento amoroso' (Ripa)
56F2522|'Tormento d'amore' (Ripa)
56F2523|'Falsita d'amore overo inganno' (Ripa)
56FF|Désire et Aversion (concepts opposés)
56FF1|Aversion
56FF13|(Sensation de) Répulsion
56FF2|Haine; 'Odio capitale' (Ripa)
56FF21|Indifférence envers l'Amour; 'Oblivione d'amore' (Ripa)
56FF22|Amour non partagé
56FF23|Froideur, Hostilité; 'Inimicitia', 'Inimicitia mortale' (Ripa)
57|Moralité
57A|Bonne et Mauvaise Conduite, Qualités Morales
57A1|Bonne Conduite
57A2|Sentiment du Devoir, Loyauté à son devoir
57A21|Devoir
57A22|Obligation (lien moral); 'Obligo' (Ripa)
57A23|Appel, Vocation, Mission
57A24|Tâche
57A25|Responsabilité
57A3|Conscience; 'Coscienza' (Ripa)
57A4|Honte
57A41|Regret
57A42|Remords, Contrition; 'Compuntione' (Ripa)
57A43|Sentiment de Culpabilité
57A5|Décence, Réserve, Pudeur
57A6|Vertu; 'Amor di Virtù', 'Attione virtuosa', 'Guida sicura de' veri honori', 'Virtù', 'Virtù insuperabile' (Ripa)
57A61|Honnêteté; 'Honestà' (Ripa)
57A611|Franchise, Loyauté; 'Lealtà', 'Realtà' (Ripa)
57A612|Sincérité; 'Purità et Sincerità d'animo', 'Sincerità' (Ripa)
57A613|Intégrité
57A6131|Ingénuité, Simplicité, Franchise, Candeur
57A614|Bonne Foi, 'Bona Fide'
57A6141|Fiabilité, Caractère de ce est Digne de Confiance
57A6142|Serment
57A62|Fidélité; 'Fedeltà' (Ripa)
57A63|Intégrité, Pureté; 'Purità' (Ripa)
57A631|Innocence; 'Innocenza', 'Innocenza o purità' (Ripa)
57A632|Innocence accusée Faussement
57A64|Humilité; 'Humiltà' (Ripa)
57A641|Discrétion, Modestie; 'Discretione', 'Modestia' (Ripa)
57A642|Simplicité; 'Simplicità' (Ripa)
57A643|Timidité, Manque d'Assurance
57A644|Soumission, Obséquiosité; 'Ossequio' (Ripa)
57A65|Désintéressement
57A66|Sérieux
57A661|Spiritualisation
57A67|Caractère Raisonnable
57A68|Noblesse; 'Nobiltà' (Ripa)
57A681|Gravité; 'Gravità', 'Gravità nell'huomo' (Ripa)
57A682|Magnificence; 'Magnificenza' (Ripa)
57A69|Sainteté; 'Santità' (Ripa)
57A7|Bienfaisance, Bienveillance; 'Beneficio', 'Benevolenza o Affettione' (Ripa)
57A71|Magnanimité; 'Grandezza e robustezza d'animo', 'Magnanimità' (Ripa)
57A72|Tolérance, Longanimité; 'Longanimità', 'Toleranza' (Ripa)
57A73|Indulgence, Clémence; 'Clemenza', 'Clemenza & Moderatione', 'Indulgenza' (Ripa)
57A74|Miséricorde
57A741|Pardon; 'Perdono' (Ripa)
57A75|Pitié, Compassion; 'Compassione', 'Misericordia' (Ripa)
57A76|État Favorable
57A77|Amabilité, Gentillesse, Affabilité; 'Affabilità, piacevolezza, amabilità', 'Animo piacevole, trattabile & amorevole', 'Benignità' (Ripa)
57A8|Gratitude; 'Gratitudine', 'Memoria grata de beneficii ricevuti' (Ripa)
57A9|Humanité, Politesse; 'Cortesia', 'Humanità' (Ripa)
57AA|Bonne et Mauvaise Conduite, Qualités Morales (concepts opposés)
57AA1|Mauvaise Conduite
57AA2|Dérobade, Manquement au Devoir
57AA21|Irresponsabilité
57AA3|Manque de Scrupules
57AA4|Effronterie
57AA41|Impertinence
57AA5|Indécence, Impudence; 'Sfacciatigine' (Ripa)
57AA51|Licence, Lascivité; 'Lascivia', 'Licenza' (Ripa)
57AA52|Perversion
57AA53|Caractère de ce qui est Scandaleux, Scandale; 'Scandolo' (Ripa)
57AA6|Méchanceté, Mauvaise Conduite
57AA61|Malhonnêteté, Fausseté
57AA611|Dissimulation, Hypocrisie; 'Hippocresia', 'Simulatione' (Ripa)
57AA612|Insincérité
57AA6121|Flatterie; 'Adulatione' (Ripa)
57AA6122|Écornifler, Parasitisme
57AA613|Astuce, Sournoiserie; 'Astutia ingannevole' (Ripa)
57AA6131|Ruse, Artifice, Habilité, Astuce, Fourberie
57AA614|Mauvaise Foi, 'Mala Fide'
57AA6141|Indigne de Confiance, Manque de Fiabilité
57AA6142|Trahison
57AA62|Infidélité, Perfidie; 'Perfidia' (Ripa)
57AA621|Escroquerie, Fraude, Supercherie; 'Fraude', 'Inganno' (Ripa)
57AA622|Fausseté
57AA6221|Mensonge; 'Bugia' (Ripa)
57AA6222|Canular, Fausse Nouvelle, Canard
57AA6223|Embûche, Piège; 'Insidia' (Ripa)
57AA6224|Intrigue
57AA6225|Falsification
57AA63|Impureté
57AA64|Orgueil, Disposition Hautaine; 'Alterezza in persona nata povera civile' (Ripa)
57AA641|Immodestie
57AA642|Sophistication
57AA643|Coquetterie
57AA644|Arrogance; 'Arroganza' (Ripa)
57AA645|Fanfaronnade, Vantardise; 'Iattanza' (Ripa)
57AA646|Suffisance, Contentement de Soi
57AA647|'Hybris', Insolence
57AA65|Égoïsme; 'Interesse', 'Interesse proprio' (Ripa)
57AA66|Frivolité
57AA661|Mondanité; 'Appetito' (Ripa)
57AA67|Conduite déraisonnable
57AA68|Manque de Mérite, Indignité
57AA69|Méchanceté Diabolique
57AA7|Malveillance, Malignité; 'Malevolenza', 'Malignità', 'Malvagità' (Ripa)
57AA71|Intransigeance
57AA72|Intolérance
57AA73|Inclémence
57AA74|Caractère Vindicatif, Disposition Vindicative
57AA741|Vengeance, Revanche, Représailles; 'Vendetta' (Ripa)
57AA75|Implacabilité
57AA76|Jalousie; 'Gelosia', 'Rammarico del ben'altrui' (Ripa)
57AA77|Inimitié
57AA8|Ingratitude; 'Ingratitudine' (Ripa)
57AA9|Brutalité
57AA91|Cruauté, Férocité; 'Crudeltà', 'Ferocità' (Ripa)
57AA92|Infamie; 'Sciagurataggine' (Ripa)
57B|Jugement de Conduite
57B1|Éloge, Approbation, Assentiment; 'Lode' (Ripa)
57B11|Récompenser la Bonté
57B2|Respect, Déférence, Estime
57B21|'Pietas', Piété; 'Pietà' (Ripa)
57B3|Justification
57B31|Palliatif, Atténuation
57BB|Jugement de Conduite (concepts opposés)
57BB1|Désapprobation, Réprobation, Reproche
57BB11|Admonestation, Remontrance, Réprimande; 'Riprensione', 'Riprensione giovevole' (Ripa)
57BB12|Correction; 'Correttione' (Ripa)
57BB13|Punition, Châtiment; 'Castigo', 'Pena', 'Punitione' (Ripa)
57BB131|Punir la Méchanceté
57BB14|Condamnation
57BB2|Moquerie, Dérision, Irrévérence; 'Derisione', 'Dispreggio della Virtù' (Ripa)
57BB21|Mépris, Dédain
57BB211|Mépriser le Monde; 'Dispregio del mondo', 'Disprezzo et Distruttione de i piaceri & cattivi affetti' (Ripa)
57BB22|Insulte, Injure; 'Ingiuria', 'Offesa' (Ripa)
57BB23|Ignominie
57BB24|Humiliation
57BB241|Ironie
57BB242|Sarcasme
57BB25|Calomnie, Détraction; 'Biasimo vitioso', 'Calunnia', 'Detrattione', 'Maledicenza' (Ripa)
57BB251|Calomnie d'Apelle : mauvais juge avec des oreilles d'âne assis sur un trône, entouré de la Fraude, l'Envie, l'Ignorance, la Suspicion et la Traîtrise, confronte l'Innocence faussement inculpée; le Remords et la Vérité sont également présents
57BB3|Accusation, Incrimination
58|Création
58A|Création et Destruction
58A1|Origine
58A2|Procréation
58A3|Fécondité, Productivité, Fertilité; 'Fecondità' (Ripa)
58AA|Création et Destruction (concepts opposés)
58AA1|Destruction
58AA11|Extirpation
58AA12|Autodestruction
58AA2|Infécondité
58AA3|Improductivité, Stérilité, Travail Perdu, Travail Raté (Gaspillage de travail)
58B|Vitalité et Mortalité
58B1|Vitalité, Viabilité, Force Vitale
58B11|Germination
58B2|Vie
58B21|Vie Humaine; 'Vita humana', 'Vita inquieta', 'Vita e l'animo' (Ripa)
58B211|'Tabula Cebetis'
58B212|fontaine de vie (non chrétienne)
58B213|Vie Humaine représentée par un bateau
58B22|Lutte pour la Vie
58B3|Immortalité, Caractère Impérissable; 'Immortalità' (Ripa)
58B4|Renaissance, Renouveau, Régénération
58B5|Hérédité
58B6|Instinct, Tendance Naturelle; 'Instinto naturale' (Ripa)
58BB|Vitalité et Mortalité (concepts opposés)
58BB1|Mortalité, Extinction de la Vie
59|Aspects de la Conduite Sociale
59A|Homme ~ Communauté
59A1|Socialité, Sociabilité
59A2|Raffinement, Goût
59A3|Bienséance, Décorum, Étiquette; 'Decoro' (Ripa)
59A4|Élégance
59A5|Hospitalité; 'Hospitalità' (Ripa)
59AA|Homme ~ Communauté (concepts opposés)
59AA1|Solitude; 'Solitudine' (Ripa)
59AA2|Manque de Savoir-Vivre, Mauvais Goût
59AA3|Vulgarité
59AA4|Affectation, Maniérisme
59AA5|Inhospitalité
59B|Position Sociale
59B1|l'Homme de la Rue, 'Elckerlyc'
59B2|Avancement, Promotion
59B3|Réputation, Renommée; 'Splendore del nome' (Ripa)
59B31|Honneur, Gloire; 'Ampiezza della Gloria', 'Gloria', 'Gloria de prencipi', 'Gloria & Honore', 'Honore', 'Sublimatà della Gloria' (Ripa)
59B32|Célébrité; 'Fama', 'Fama buona', 'Fama chiara' (Ripa)
59B33|Respectabilité; 'Precedenza et Preminenza de titoli' (Ripa)
59B34|Notoriété; 'Chiarezza' (Ripa)
59B4|Dignité; 'Dignità' (Ripa)
59B41|Grandeur, Majesté; 'Maestà regia', 'Regalità' (Ripa)
59B5|Mérite; 'Merito' (Ripa)
59BB|Position Sociale (concepts opposés)
59BB1|Nullité, 'Nemo'
59BB2|Dégradation
59BB3|Déshonneur, Discrédit
59BB31|Disgrâce; 'Infamia', 'Scorno' (Ripa)
59BB32|Mauvaise Réputation; 'Fama cattiva' (Ripa)
59BB33|Manque de Noblesse, 'Vulgus'; 'Vulgo overo ignobilità' (Ripa)
59BB34|Manque de Gloire
59BB4|Abjection
59BB5|Démérite
59C|Justice et Injustice
59C1|Maintien de la Loi
59C2|Justice; 'Forza alla giustitia sottoposta', 'Giustitia', 'Giustitia retta', 'Giustitia rigorosa', 'Impietà e violenza soggetta alla giustitia', (Ripa)
59C21|Égalité, Équité, Impartialité, Droiture; 'Equalità', 'Equità', 'Giuditio giusto', 'Ordine dritto e giusto', 'Ugualità' (Ripa)
59C22|Impartialité
59C221|Incorruptibilité
59C3|Légalité
59CC|Justice et Injustice (concepts opposés)
59CC1|Violation de la Loi
59CC2|Injustice; 'Ingiustitia' (Ripa)
59CC21|Inégalité, Iniquité; 'Iniquità' (Ripa)
59CC211|Arbitraire
59CC22|Partialité; 'Partialità' (Ripa)
59CC221|Corruptibilité, Vénalité, Corruption
59CC3|Illégalité
6|Histoire
61|événements et situations historiques; personnages historiques
61A|événements et situations historiques
61A(...)|événements et situations historiques (avec DATE)
61B|personnages historiques (portraits et scènes de leur vie)
61B1|personnages historiques de nom inconnu
61B11|représentation d'un personnage historique anonyme
61B111|personnage historique anonyme représenté seul
61B112|personnages historiques anonymes représentés dans un portrait faisant pendant
61B113|personnages historiques anonymes représentés dans un groupe, dans un portrait de groupe
61B12|scènes ~ personnage(s) historique(s) anonyme(s)
61B121|scène directement reliée à la vie ou l'histoire de la vie d'un personnage anonyme
61B122|scène fictive ~ personnage(s) historique(s) anonyme(s)
61B2|personnages historiques
61B2(...)|personnage historique (avec NOM)
61B2(...)1|personnage historique (avec NOM) - représentation de personnage(s) historique(s)
61B2(...)11|personnage historique (avec NOM) - personnage historique (avec NOM) représenté seul
61B2(...)12|personnage historique (avec NOM) - personnage historique (avec NOM) pendant d'un autre portrait
61B2(...)13|personnage historique (avec NOM) - personnage historique (avec NOM) représenté dans un groupe, dans un portrait de groupe
61B2(...)2|personnage historique (avec NOM) - scène ~ personnage(s) historique(s) (avec NOM de la personne)
61B2(...)21|personnage historique (avec NOM) - scène directement reliée à la vie ou l'histoire de la vie d'un personnage historique (avec NOM de la personne)
61B2(...)22|personnage historique (avec NOM) - scène fictive ~ personnage historique (avec NOM de la personne)
61B2(...)3|personnage historique (avec NOM) - autres représentations auxquelles le nom d'un personnage historique peut être attaché
61BB|personnages historiques (portraits et scènes de leur vie) - BB - femme
61BB1|personnages historiques de nom inconnu - BB - femme
61BB11|représentation d'un personnage historique anonyme - BB - femme
61BB111|personnage historique anonyme représenté seul - BB - femme
61BB112|personnages historiques anonymes représentés dans un portrait faisant pendant - BB - femme
61BB113|personnages historiques anonymes représentés dans un groupe, dans un portrait de groupe - BB - femme
61BB12|scènes ~ personnage(s) historique(s) anonyme(s) - BB - femme
61BB121|scène directement reliée à la vie ou l'histoire de la vie d'un personnage anonyme - BB - femme
61BB122|scène fictive ~ personnage(s) historique(s) anonyme(s) - BB - femme
61BB2|personnages historiques - BB - femme
61BB2(...)|personnage historique (avec NOM) - BB - femme
61BB2(...)1|personnage historique (avec NOM) - BB - femme - représentation de personnage(s) historique(s)
61BB2(...)11|personnage historique (avec NOM) - BB - femme - personnage historique (avec NOM) représenté seul
61BB2(...)12|personnage historique (avec NOM) - BB - femme - personnage historique (avec NOM) pendant d'un autre portrait
61BB2(...)13|personnage historique (avec NOM) - BB - femme - personnage historique (avec NOM) représenté dans un groupe, dans un portrait de groupe
61BB2(...)2|personnage historique (avec NOM) - BB - femme - scène ~ personnage(s) historique(s) (avec NOM de la personne)
61BB2(...)21|personnage historique (avec NOM) - BB - femme - scène directement reliée à la vie ou l'histoire de la vie d'un personnage historique (avec NOM de la personne)
61BB2(...)22|personnage historique (avec NOM) - BB - femme - scène fictive ~ personnage historique (avec NOM de la personne)
61BB2(...)3|personnage historique (avec NOM) - BB - femme - autres représentations auxquelles le nom d'un personnage historique peut être attaché
61C|noms propres de plantes et d'animaux
61C1|noms propres de plantes
61C1(...)|noms propres de plantes (avec NOM)
61C2|noms propres d'animaux
61C2(...)|noms propres d'animaux (avec NOM)
61D|noms géographiques de pays, régions, montagnes, rivières, etc.
61D(...)|noms géographiques de pays, régions, montagnes, rivières, etc. (exceptés les noms de villes et villages)
61E|noms de villes et de villages
61E(...)|noms de villes et de villages (avec NOM)
61F|noms de bâtiments historiques, d'endroits, de rues, etc.
61F(...)|noms de bâtiments historiques, d'endroits, de rues, etc. (avec NOM)
61G|noms d'objets et d'objets fabriqués par l'homme
61G(...)|noms d'objets et d'objets fabriqués par l'homme (exepté les bâtiments) (avec NOM)
61H|noms d'organisations, de compagnies, de syndicats, etc.
61H(...)|noms d'organisations, de compagnies, de syndicats, etc. (avec NOM)
61I|noms d'événements et de situations historiques
61I(...)|noms d'événements et de situations historiques (avec NOM)
61K|(autres) noms historiques
61K(...)|(autres) noms historiques (avec NOM)
62|visions du futur
7|Bible
71|Ancien Testament
71A|Genèse : de la création à l'expulsion du paradis, et les dernières années de la vie d'Adam et d'Eve
71A1|'Au commencement ...' l'organisation du chaos (Genèse 1:1-2)
71A11|la terre informe et déserte
71A12|l'esprit de Dieu se meut sur la surface des eaux
71A2|les six jours de la création (Genèse 1:3-25)
71A21|la séparation entre la lumière et les ténèbres
71A22|création du firmament et séparation des eaux et du ciel
71A23|rassemblement des eaux d'au-dessous des cieux; la terre ferme apparaît produisant toutes sortes de végétations
71A231|création de la végétation (uniquement)
71A24|création du soleil, de la lune et des étoiles
71A25|création des animaux ~ Genèse
71A251|création des oiseaux et des poissons
71A252|création des bêtes de la terre
71A3|création de l'homme; le jardin d'Éden (Genèse 1:26 - 2)
71A31|Dieu forme l'homme avec du limon
71A311|l'homme (Adam) devient vivant : Dieu généralement lui tend la main, ou bien insuffle la vie dans ses narines
71A32|Dieu plante le jardin d'Éden
71A321|le jardin d'Éden, le paradis terrestre
71A3211|les quatre rivières du paradis (jaillissant d'une fontaine)
71A32111|Pishôn (rivière du Paradis)
71A32112|Gihôn (rivière du Paradis)
71A32113|Tigre (Hiddekel) (rivière du Paradis)
71A32114|Euphrate (rivière du Paradis)
71A3212|l'arbre de vie et l'arbre de la connaissance du bien et du mal
71A32121|l'arbre de vie au jardin d'Éden
71A32122|l'arbre de la connaissance du bien et du mal (dont les fruits généralement des pommes ou des figues entraînent la mort); il se peut que l'arbre soit gardé par le serpent
71A33|Adam au jardin d'Éden
71A331|Dieu conduit Adam au paradis terrestre
71A332|Dieu parle à Adam
71A333|Adam donne des noms aux animaux
71A34|création d'Eve
71A341|Dieu prend une côte d'Adam pendant son sommeil
71A342|Eve est bâtie à partir de la côte d'Adam
71A3421|Eve émerge du corps d'Adam
71A35|Adam et Eve au paradis terrestre (avant la chute)
71A351|Dieu amène Eve à Adam
71A352|Dieu bénit Adam et Eve; institution du mariage
71A353|toutes les choses créées sont mises sous l'autorité d'Adam
71A354|imposition des commandements d'essais, l'Admonition Divine : Dieu interdit à Adam et Eve de manger du fruit de l'arbre de la connaissance du bien et du mal
71A36|Dieu se repose au septième jour
71A4|Tentation et Chute (Genèse 3:1-7)
71A41|Tentation et Chute (scènes avec uniquement Eve)
71A411|le serpent tâche de persuader Eve de prendre un fruit (généralement une pomme)
71A412|Eve prend le fruit
71A42|Tentation et Chute (scènes avec Adam et Eve tous deux présents)
71A421|Eve accepte le fruit du serpent (ou le cueille de l'arbre) en présence d'Adam (qui éventuellement essaie de la retenir)
71A422|Eve offre le fruit à Adam
71A4221|Eve offre un fruit à Adam et simultanément en prend d'autres du serpent (ou en cueille de l'arbre)
71A4222|Adam cueille lui-même un fruit de l'arbre
71A423|Adam et Eve tenant (éventuellement mangeant) le fruit
71A4231|Adam (seul) tenant le fruit
71A4232|Eve (seule) tenant le fruit
71A424|Adam et Eve découvrent leur nudité; ils essaient de se couvrir de leurs mains ou de feuilles
71A5|Tentation et Chute : Adam et Eve au paradis terrestre (après la Chute) (Genèse 3:8-21)
71A51|Adam et/ou Eve pris de repentir
71A52|Dieu se promenant dans le jardin d'Éden
71A521|Dieu appelle Adam et Eve afin qu'ils se justifient
71A522|Adam et Eve se cachent de lui
71A53|Adam et Eve réprimandés par Dieu
71A531|Adam (seul) réprimandé par Dieu; Adam accuse Eve
71A532|Eve (seule) réprimandée par Dieu; Eve accuse le serpent
71A54|la punition d'Adam et d'Eve
71A541|le serpent est maudit par Dieu et condamné à manger de la poussière et à ramper sur son ventre
71A542|punition d'Eve (seule)
71A543|punition d'Adam (seul)
71A55|Adam et Eve sont habillés par Dieu
71A551|Adam et Eve reçoivent des outils, généralement une bêche et une quenouille
71A6|expulsion d'Adam et d'Eve du paradis terrestre (Genèse 3:22-24)
71A61|Dieu chasse Adam et Eve du paradis terrestre et poste un ange avec une épée flamboyante à l'arbre de vie
71A611|un ange chasse Adam et Eve du paradis terrestre avec une épée (flamboyante)
71A62|Adam et Eve hors du jardin d'Éden, dont l'entrée est gardée par des chérubins resplendissants
71A63|Adam et Eve faisant pénitence
71A631|bain purificateur d'Adam et d'Eve
71A7|les travaux d'Adam et d'Eve; la petite enfance de Caïn et d'Abel (Genèse 4:1-2)
71A71|Eve enceinte
71A711|naissance de Caïn
71A7111|bain de relevailles d'Eve
71A712|naissance d'Abel
71A7121|Adam baigne Abel avec l'aide de Caïn
71A7122|Eve allaitant Abel; Caïn se détourne, ou bien la jalousie de Caïn
71A72|Adam (et Eve) occupé(s) à des travaux de la terre
71A721|Adam occupé à des travaux de la terre, Eve filant et leurs enfants généralement en train de jouer
71A722|Adam occupé à des travaux de la terre, Eve allaitant les enfants
71A723|un ange apprend à Adam comment travailler la terre
71A73|éducation de Caïn et d'Abel
71A731|Caïn et Abel apprennent à aider leur père : Caïn en cultivant le sol, Abel en faisant paître les animaux
71A732|Caïn (seul) au travail, cultivant le sol
71A733|Abel (seul) au travail, faisant paître les animaux
71A8|l'histoire de Caïn et Abel (Genèse 4:3-17)
71A81|le sacrifice de Caïn et d'Abel : Abel offre un agneau, Caïn généralement une gerbe de blé
71A811|Dieu (ou la main de Dieu) apparaît et bénit Abel ~ sacrifice
71A812|la fumée du sacrifice d'Abel monte droit au ciel, tandis que la fumée du sacrifice de Caïn descend
71A8121|la fumée du sacrifice d'Abel va droit au ciel, tandis que la fumée du sacrifice de Caïn descend; Dieu bénit Abel
71A813|un ange reçoit l'agneau d'Abel, tandis qu'il se peut qu'un diable assiste Caïn
71A814|Abel sacrifiant (seul)
71A815|Caïn sacrifiant (seul)
71A82|le meurtre d'Abel : Caïn le tue avec soit une pierre, un gourdin ou un maxillaire, soit avec une bêche ou quelque autre instrument en guise d'arme
71A821|mort d'Abel
71A822|Caïn enterre Abel
71A823|Adam et Eve découvrent le corps sans vie d'Abel et le pleurent
