9|ギリシャ・ローマ神話と古代史
94B161|テーバイの王クレオーンは敵の遺体の埋葬を禁じる
94B1611|アンティゴネーは夜に彼女の兄のポリュネイケースの遺体を埋葬する: 彼女は密かに彼にわずかな砂をかけるが、まさにこの行為によって捕らえられる
94B1612|アンティゴネーの罰
94B16121|アンティゴネーは生き埋めにされる
94B161211|アンティゴネーは彼女の墓で首を吊る
94B161212|クレオーンの息子であり、アンティゴネーと婚約していたハイモーンは、墓に押し入り、彼女が死んでいるのを見つける
94B161213|ハイモンは自殺する
94B1613|クレオーンの妻であるエウリュディケーは、ハイモンの死を聞き自殺する
94B162|テセウスはクレオーンに対して軍隊と共に行進する
94B1621|死んだ傭兵隊長達が埋葬される: カパネウスの妻であるエヴァドネは、夫の葬儀の火葬場に身を投げる
94B1622|エテオクレースとポリュネイケースのための葬儀が行われる: 炎がふたつに分かれる
94B17|時系列に示されていないテーバイ攻めの七将の物語からの場面
94B171|物語の時系列に示されていない、テーバイ攻めの七将を主役とするテーバイ攻めの七将の物語からの場面
94B172|物語の時系列に示されていないテーバイの人々を主役とするテーバイ攻めの七将の物語からの場面
94B2|エピゴノイ: 第２次テーバイ戦争
94B21|最初のテーバイ戦争の７人の英雄の息子達、すなわちアイギアレウス、アルクマイオーン、アムピロコス(あるいはポリュドーロスまたはエウリュアロス)、ディオメーデース, プロマクス、 ステネロスとテルサンドロスはテーバイに対し開戦することを決意する
94B211|エリピューレーは、ポリュネイケースの息子テルサンドロスより、かつてハルモニアーが所有していた魔法の衣装を彼女の息子のアルクマイオーンにエピゴノイと共に出立するよう仕向けるための賄賂として受け取る
94B2111|アルクマイオンが軍の指揮を執る
94B22|テーバイの崩壊
94B221|テーバイの壁の前での戦い; アイギアレウスが殺される
94B222|テーバイの人々は妻や子供達と共に夜の間に逃げる
94B23|第２次テーバイ戦争の成り行き: アルクマイオンの復讐
94B231|アルクマイオンは母であるエリピューレーを殺す
94B232|アルクマイオンはエリーニュスに追われ、逃げる
94B233|アルカディアでアルクマイオンは、フェゲウス王によって清められ、フェゲウスの娘のアルシノエと結婚する; 彼は彼女にハルモニアのローブとネックレスを渡す
94B234|アルカディアを去らねばならないアルクマイオンは、河の神アケローオスに再び浄化される; 彼はアケローオスの娘のカリロエーと結婚し、彼女にハルモニアーの首飾りを約束する
94B235|アルクマイオンはフェゲウスにハルモニアのローブとネックレスを渡すよう頼む
94B2351|アルクマイオンはペゲウスの息子達によって殺される
94B2352|反抗するアルシノエは箱に詰められ、テゲアに連れて行かれ、アルカディアの王のアガペノールに奴隷として与えられる
94B236|カリロエーの息子達はフェゲウスとその息子達を殺すことで、父アルクマイオンのあだを討つ
94B2361|ハルモニアのローブとネックレスがデルフォイのアポロに捧げられる
94B24|時系列に示されていないエピゴノイの物語からの場面
94B241|物語の時系列に示されていない、エピゴノイを主役とするエピゴノイの物語からの場面
94B242|物語の時系列に示されていない、テーバイの人々を主役とするエピゴノイの物語からの場面
94C|トロイア戦争 (94C - 94H)
94C1|トロイア戦争の前ぶれ: パリス (アレクサンドロスとも呼ばれる) とヘレネーの愛の物語
94C11|パリスと金の林檎
94C111|３人の女神アプロディーテー、ヘーラーとアテーナーが黄金の林檎について口論する; ゼウスは彼らにパリスを送る
94C112|メルクリウスはパリスに金の林檎をもたらす
94C113|パリスの審判 (メルクリウスがいる)
94C1131|パリスの審判 (メルクリウスはいない)
94C1132|パリスの夢
94C12|パリスのトロイアへの帰還; 彼はプリアモスが主催する追悼競技会の賞となる雄牛を追いかける
94C121|パリスの認知: 嫉妬深い兄弟の１人に襲われたとき、カッサンドラーはパリスの素性を明らかにする
94C122|パリスはプリアモスに認められ、受け入れられる
94C13|ギリシャのパリス
94C131|パリスはアプロディーテーの祭祀の間、ヘレネーに出会う
94C132|メネラーオスの宮廷でのパリス
94C133|ヘレネーと彼女の侍女達の誘拐: パリスは彼らを海路で連れ去り、宮殿の宝の一部を持っていく
94C14|トロイアのパリスとヘレネー
94C141|パリスとヘレネーのトロイアへの到着
94C142|パリスとヘレネーの勝利
94C143|プリアモスに引き合わされるヘレネー
94C144|パリスとヘレネーの結婚
94C2|トロイア戦争: ギリシャの英雄の集まり
94C21|オデュッセウスは狂気を装う: 彼は牛とロバをくびきで繋ぎ耕し、同時に塩をまく; パラメデスは幼いテレマコスを鋤の前に置き、そのことによりオデュッセウスは屈服する
94C22|リュコメーデースの娘達の中でアキレウスは発見される, すなわちスキロス島のアキレウス: 贈り物がもたらされた時、アキレウスは武器を掴み、彼の正体を晒す
94D|トロイア戦争: トロイアへの旅
94D1|アウリスに集められたギリシャ人達
94D11|ギリシャ艦隊はデロスの王であるアニオスとその娘達によって供給される
94D111|アニオスの娘達はギリシャ人と共に乗船することを余儀なくされた
94D12|ゼウスとアポロへのささげ物: ヘビが8羽のヒナとその母親の巣を飲み込む; 予言者カルカスがその予兆を説明する
94D13|アガメムノーンの娘のイフィゲニアが家から連れてこられる
94D131|アガメムノーンがアルテミスのお気に入りの鹿を射る
94D132|イフィゲニアの犠牲
94D1321|イフィゲニアは、彼女の代わりに鹿 (雌鹿) を置いたアルテミスによって救われる
94D2|ギリシャ艦隊はトロイアに向けて出航する
94D21|テネドス島のギリシャ人達
94D211|船に岩を投げつけていたテネスはアキレウスに殺される
94D22|足に負傷したピロクテーテースが置き去りにされる
94D221|ピロクテーテースはヘビに噛まれる
94D222|ピロクテーテースはヘラクレスの矢の1本で負傷する
94D23|ミュシアのギリシャ人達は、テーレポスとその部下と戦う
94D231|テーレポスは、彼をブドウのつるにつまづかせたディオニューソスの助けを借りたアキレウスによって負傷する
94D24|ギリシャの大使がプリアモスの元に送られる
94D241|トロイアの長老の1人であるアンテーノールとその妻テアーノーが使節を迎える
94E|トロイア戦争: 到着と最初の９年間
94E1|トロイアの前のギリシャ人の到着
94E11|最初に上陸したプローテシラーオスは、ヘクトールに殺される
94E12|アキレウスはキュクノスを彼の兜の革紐で絞め殺す
94E2|トロイア戦争: 戦争の最初の９年間
94E21|アキレウスは飼葉桶でプリアモスの息子であるトロイラスを見ている; 時にポリュクセネーが存在する
94E211|アキレウスはアポロ神殿でトローイロスを殺す
94E2111|トローイロスの頭部を掴んだアキレウス、トロイアの戦士達に攻撃される
94E22|ギリシャ人はトロイアの田園地帯を荒廃させる
94E221|ブリーセーイスとクリューセーイスの捕獲
94E23|パラメーデースはオデュッセウスによる裏切りで誤って告発される
94E231|パラメーデースのテントで金が発見される
94E232|パラメーデースはギリシャ人による石打ちで死ぬ
94F|トロイア戦争の１０年目 (第１部); アキレウスの憤怒: ブリーセーイスについての反目からパトロクロスの死まで
94F1|ブリーセーイスについての反目 (イーリアス 第１歌)
94F11|クリューセーイスの解放: アガメムノーンはクリューセーイスを父親のクリューセースの元に返還することを断る
94F111|クリューセーイスのアポロへの祈り
94F112|アポロはギリシャの野営地に疫病を送る
94F113|ギリシャ人の評議会: アテーナーは、アキレウスの髪を掴むことで彼の怒りを抑える; おそらくネストルがアガメムノーンを静めようとしている
94F114|クリューセーイスは父親の元に返還される
94F12|ブリーセイスはアキレウスによって連れ去られ、従者のタルティビウスとエウリバテスによってアガメムノーンの元へ導かれる アキレウスは竪琴を持っている可能性がある
94F121|アキレスは戦争から撤退し、母親のテティスに不平を言う
94F122|テティスはゼウスに彼女の息子に支援を与えるよう頼む (アキレウス)
94F2|ギリシャ人の討論 (イーリアス 第２歌)
94F21|アガメムノーンの夢: ネストルの姿をしたモルペウスが、彼を攻撃に駆り立てる
94F22|ギリシャ人達は彼らの船に急ぐ; オデュッセウスとアテーナーは、軍が撤退するのを防ぐ
94F23|テルシーテースはアガメムノーンを侮辱し、オデュッセウスにより笏で殴られ罰される
94F3|ギリシャ人とトロイア人の間の停戦 (イーリアス 第３歌)
94F31|パリスとメネラーオスの決闘
94F311|トロイアの城壁のプリアモスとヘレネー、ヘレネーはラーオディケーに似ていたことからイーリスに連れて来られた
94F32|パリスとメネラーオスの決闘にアプロディーテーが介入する: 彼女は彼を雲で覆い隠し、彼女の部屋へと連れて行く
94F321|アプロディーテーはヘレネーを連れて、彼女をパリスの元へ連れて行く
94F322|ヘレネーはパリスを嘲る
94F4|ギリシャ人とトロイア人の最初の戦い; ディオメーデースの英雄的行為 (イーリアス 第４歌〜第５歌)
94F41|休戦はメネラーオスを傷つけたパンダロスによって破られる
94F411|メネラーオスはマカーオーンに癒される
94F42|ディオメーデースの英雄的行為 ~ トロイア戦争
94F421|ディオメーデースはパンダロスを殺す
94F422|アイネイアースはパンダロスの遺体を救出しようとするが、ディオメーデースによって放たれた石に打たれる; アプロディーテーがアイネイアースを救助にくる
94F4221|アプロディーテーはディオメーデースにより手を負傷する
