4|Société, Civilisation, Culture
41D213(...)|
41D213(SAILOR SUIT)|ensemble composé de plusieurs vêtements: habit de matelot
41D22|chapeaux et vêtements pour la partie supérieure du corps
41D221|couvre-chef
41D221(...)|couvre-chef (avec NOM)
41D221(BERET)|couvre-chef: béret
41D221(BICORNE)|couvre-chef: bicorne
41D221(BOATER)|couvre-chef: canotier
41D221(BOWLER)|couvre-chef: chapeau melon
41D221(CAP)|couvre-chef: casquette
41D221(CLOCHE HAT)|couvre-chef: cloche
41D221(FONTANGE)|couvre-chef: fontange
41D221(HAT)|couvre-chef: chapeau
41D221(HOOD)|couvre-chef: capuchon
41D221(MORNING CAP)|couvre-chef: bonnet du matin
41D221(TOP HAT)|couvre-chef: haut-de-forme
41D221(TOQUE)|couvre-chef: toque
41D221(TRICORNE)|couvre-chef: tricorne
41D221(TURBAN)|couvre-chef: turban
41D2211|voile
41D2212|bonnet phrygien
41D222|accessoires vestimentaires pour le cou
41D222(...)|accessoires vestimentaires pour le cou (avec NOM)
41D222(COLLAR)|accessoires vestimentaires pour le cou: collerette
41D222(JABOT)|accessoires vestimentaires pour le cou: jabot
41D223|vêtements pour la partie supérieure du corps
41D223(...)|vêtements pour la partie supérieure du corps (avec NOM)
41D223(BLOUSE)|vêtements pour la partie supérieure du corps: blouse
41D2231|accessoire vestimentaire couvrant la poitrine ou le décolleté
41D2231(...)|accessoire vestimentaire couvrant la poitrine ou le décolleté (avec NOM)
41D224|manches
41D225|gants, moufle, mitaines
41D225(...)|gants, moufle, mitaines (avec NOM)
41D2251|'manus velatae' (mains couvertes d'un tissu)
41D2252|manchon
41D23|vêtements pour la partie inférieure du corps
41D231|pantalon, haut de chausses, culotte
41D231(...)|pantalon, haut de chausses, culotte (avec NOM)
41D2311|braguette (sorte de poche attachée au haut de chausses)
41D232|jupe
41D232(...)|jupe (avec NOM)
41D2321|tablier
41D233|accessoires vestimentaires pour les pieds et jambes
41D2331|bas, chaussettes
41D2332|souliers, chaussures, sandales
41D23321|bottes
41D23322|chaussons

41D2333|sabots
41D2334|pieds chaussés inégalement
41D23341|un pied chaussé d'un soulier et l'autre d'une pantoufle ~ pieds chaussés inégalement
41D23342|un pied nu, l'autre chaussé
41D2335|accessoires ~ souliers, p.ex. semelle intérieure, chausse-pied, cirage
41D2339|pieds nus
41D24|vêtements à usage spécial
41D241|habits officiels
41D2411|insignes, attributs de dignitaires
41D242|vêtements habillés, de fête
41D2421|mascarade, bal masqué
41D2422|fête en tenue de soirée
41D2423|costume historique
41D24231|costumes utilisés dans les reconstitutions, les spectacles historiques
41D243|vêtements professionnels
41D244|costume de fantaisie
41D249|vêtements pour couvrir des sculptures
41D25|sous-vêtements, dessous, lingerie et vêtements de nuit
41D251|sous-vêtements, dessous
41D2511|sous-vêtements, dessous pour tout le corps
41D2511(...)|sous-vêtements, dessous pour tout le corps (avec NOM)
41D2512|sous-vêtements, dessous pour la partie supérieure du corps
41D2512(...)|sous-vêtements, dessous pour la partie supérieure du corps (avec NOM)
41D2512(CORSET)|
41D2513|sous-vêtements, dessous pour la partie inférieure du corps
41D2513(...)|sous-vêtements, dessous pour la partie inférieure du corps (avec NOM)
41D2513(BLOOMERS)|sous-vêtements, dessous pour la partie inférieure du corps: bloomers, culotte bouffante
41D2513(CORSET)|sous-vêtements, dessous pour la partie inférieure du corps : corset
41D252|vêtement de nuit
41D252(...)|vêtement de nuit (avec NOM)
41D252(NIGHT-CAP)|vêtements de nuit : bonnet de nuit
41D252(NIGHT-GOWN)|vêtements de nuit : chemise de nuit
41D253|ouatine et rembourrage
41D253(...)|ouatine et rembourrage (avec NOM)
41D26|accessoires vestimentaires
41D26(...)|autres accessoires vestimentaires (avec NOM)
41D261|mouchoirs
41D262|éventail
41D2621|jouer de l'éventail, la mimique de l'éventail
41D263|canne, bâton
41D2631|parapluie
41D2632|parasol, ombrelle
41D264|attache, fermoir pour vêtements
41D2641|épingle
41D26411|fibule, épingle à sûreté
41D2642|bouton
41D26421|bouton de manchettes
41D2643|agrafes et oeillets; bouton-pression
41D2644|boucle
41D26441|fermeture Éclair
41D2645|bretelles
41D2646|fermeture éclair
41D265|ornements vestimentaires
41D2651|broderie (ornement vestimentaire)
41D26511|broderie à fil d'or
41D26512|broderie de perles
41D2652|dentelle
41D2653|bord, liseré, ruban, soutache, galon
41D2654|noeud (ornement vestimentaire)
41D2655|petit bouquet de fleurs à accrocher au corsage ou au poignet
41D2656|ceinture
41D2657|bandoulière
41D266|ornements ~ bijoux
41D2661|collier
41D26611|perle; collier de perles
41D26612|pendentif, bibelot, breloque
41D2662|bracelet
41D26621|bracelet de cheville
41D2663|boucles d'oreille
41D2664|bague
41D2665|broche, agrafe, clips
41D2666|diadème
41D2668|boîte à bijoux
41D267|porte-monnaie, bourse
41D268|sac
41D268(...)|sac (avec NOME)
41D269|loup, demi-masque de satin ou de velours noir
41D27|draperie, vêtement drapé, 'Gewandgebung'
41D271|bande de tissu flottant au vêtement, 'Pneumazipfel'
41D28|déguisement
41D281|femme habillée en homme, travestie
41D282|homme habillé en femme, travesti
41D283|masque
41D29|vêtu de guenilles, de haillons, de hardes
41D3|costume folklorique, régional
41D4|entretien et blanchissage des vêtements; travaux de couture à domicile
41D41|entretien des vêtements, p.ex. : brosser, battre, aérer
41D411|accrocher des vêtements
41D4111|vêtements accrochés à des cintres
41D4112|vêtements, tissus, étendus sur une barre
41D42|blanchissage
41D421|accrocher du linge à sécher
41D4211|retirer le linge
41D4212|étendre le linge à sécher
41D422|mettre le linge à l'eau de Javel
41D423|essorer
41D424|repasser
41D4241|fer à repasser (non électrique)
41D4242|planche à repasser
41D425|repasser à la vapeur (blanchissage)
41D426|pressage (blanchissage)
41D4261|essoreuse
41D427|accessoires et outils ~ blanchissage, p.ex. : pince à linge, étendoir, corde à linge (vide)
41D428|local ou annexe destinés à laver le linge
41D4281|buanderie, endroit destiné à la lessive (particulier)
41D4282|lavoir public, bac public pour laver le linge, blanchisserie, bateau-lavoir
41D43|teinture (vêtements)
41D44|travaux de couture à domicile; réparations
41D441|coudre
41D4411|aiguille ~ couture
41D4412|boîte à coudre
41D4413|machine à coudre
41D442|réparer, raccommoder ~ vêtements
41D4421|repriser, rapiécer
41D443|(autres formes de) couture, p.ex. : crocheter, tricoter, broder
41D9|(se montrer) nu(e) ou quasi-nu(e)
41D91|homme (se montrant) nu ou quasi-nu
41D92|femme (se montrant) nue ou quasi-nue
41D921|décolleté
41D93|être exhibé(e) nu(e)
41D94|rassembler ses vêtements
41D99|se gêner (de sa nudité)
41D991|essai, tentative de couvrir sa nudité
41DD121|mannequin - DD - mannequin (homme)
41E|nature morte d'objets variés
41E1|nature morte d'objets apparentés
41E2|nature morte d'objets en trompe-l'oeil
42|famille, descendance
42A|procréation, naissance et petite enfance
42A1|procréation et grossesse
42A11|conception, fécondation
42A12|femme enceinte
42A121|foetus
42A13|traitement(obstétrique) et comportement de la femme enceinte
42A131|allégement du travail, congé de maternité
42A132|nausée, vertiges (femme enceinte)
42A133|femme enceinte prenant des aliments spéciaux
42A134|femme enceinte frappée de frayeur; la soi-disant 'impression' transmise par la mère à l'embryon (Néerlandais : 'verzien')
42A1341|enfant portant les marques 'd'impression' de la mère
42A14|paternité
42A18|fertilité
42A19|stérilité; femme stérile
42A190|'Sterelitá' (Ripa)
42A191|désir d'avoir des enfants
42A192|méthode pour provoquer la fécondation, pour combattre la stérilité
42A193|contraception
42A2|accouchement, naissance
42A21|être en couches
42A211|femme accouchant (alitée)
42A2111|femme accouchant (accroupie)
42A2112|femme accouchant (sur une chaise d'accouchement)
42A2119|accouchement difficile et inhabituel
42A21191|accouchement aux fers (forceps)
42A21192|césarienne (accouchement difficile et inhabituel)
42A21193|naissance prématurée
42A21194|né coiffé
42A212|nouveau-né
42A2121|début de la respiration, cri du nouveau-né
42A2122|couper le cordon ombilicale
42A2123|placenta
42A213|le nouveau-né montré à son père
42A214|premiers soins donnés au nouveau-né
42A22|visite à l'accouchée, à la nouvelle maman
42A221|faire-part de naissance
42A23|marques annonçant la maison d'une femme en couches
42A24|sage-femme, accoucheuse
42A241|obstétricien, accoucheur
42A25|nourrice sèche
42A251|chaise pour allaiter (Néerlandais : 'bakermat')
42A252|nourrisson emmailloté
42A2521|emmailloter un nourrisson
42A26|jumeaux
42A261|jumeaux siamois
42A27|triplés, quadruplés, quintuplés, etc.
42A27(...)|triplés, quadruplés, quintuplés, etc. (avec NOMBRE d'enfants)
42A28|les endroits où soi-disant naissent les bébés
42A281|les soi-disant apporteurs de bébés
42A2811|êtres surnaturels ~ soi-disant apporteurs de bébés
42A2812|humains ~ soi-disant apporteurs de bébés
42A2813|animaux ~ soi-disant apporteurs de bébés
42A29|fausse couche, avortement
42A291|avorteur,-euse, faiseuse d'anges
42A299|femme donnant naissance à des animaux ou à des monstres (légendaires)
42A3|maman avec son bébé, son nourrisson ou son petit enfant
42A30|maternité
42A31|allaiter
42A311|nourrice
42A312|nourrisson allaité par un animal
42A32|alimentation d'un bébé
42A33|laver un bébé et changer ses couches (langes)
42A331|couche de bébé
42A34|baigner un bébé
42A35|habiller un bébé
42A351|peigner un bébé
42A36|mère jouant avec son bébé (le caressant, le faisant sauter, chantonnant)
42A361|bercer le bébé
42A362|chanter des berceuses
42A37|regarder l'enfant dormir
42A4|petit enfant, bébé
42A41|meubles de bébé
42A411|berceau, lit d'enfant
42A412|chaise haute (pour enfants)
42A413|parc (pour bébés)
42A42|voiture d'enfants, landau, poussette
42A421|autres moyens de transport d'enfants
42A4211|porter un enfant sur le dos
42A4212|porter un enfant sur la hanche
42A4213|porter un enfant sur la tête (dans un berceau ou un panier)
42A43|dentition, poussée dentaire
42A431|la première dent
42A432|anneau de dentition
42A44|sevrer un enfant
42A441|tétine, sucette (sevrage)
42A45|hochet (jouet d'enfant)
42A46|prendre soin des enfants
42A461|soin parental
42A462|baby-sitter, garde d'enfants
42A5|enfant (à la maison)
42A50|'Pueritia' (Ripa)
42A51|petit enfant
42A511|apprendre à marcher, les premiers pas
42A5111|marcher à quatre pattes, ramper (enfants apprenant à marcher)
42A5112|instruments pour apprendre à marcher, trotteur
42A5113|protège-tête (enfant apprenant à marcher)
42A512|apprendre à parler
42A52|petit enfant jouant; enfant s'amusant soi-même
42A53|soins hygiéniques ~ enfants
42A54|mauvaises habitudes
42A541|ronger ses ongles
42A542|sucer son pouce
42A55|peines enfantines
42A551|peines enfantines réconfortées
42A552|enfant fugueur
42A5521|chercher et trouver un enfant fugueur
42A553|retour de l'enfant fugueur
42A56|grandir
42A561|mesurer l'enfant
42A562|enfant perdant ses dents
42A57|tâches accomplies par des enfants
42A571|enfant faisant des courses
42A58|gamin hirsute, Pierre l'Ébouriffé, 'Struwwelpeter'
42A59|croque-mitaine, père fouettard, loup-garou
42AA19|stérilité; femme stérile - AA - homme stérile
42AA190|'Sterelitá' (Ripa) - AA - homme stérile
42AA191|désir d'avoir des enfants - AA - homme stérile
42AA192|méthode pour provoquer la fécondation, pour combattre la stérilité - AA - homme stérile
42AA213|le nouveau-né montré à son père - AA - à sa mère
42AA36|mère jouant avec son bébé (le caressant, le faisant sauter, chantonnant) - AA - autre personne que la mère jouant avec le bébé
42AA361|bercer le bébé - AA - autre personne que la mère jouant avec le bébé
42AA362|chanter des berceuses - AA - autre personne que la mère jouant avec le bébé
42AA46|prendre soin des enfants - AA - par d'autres enfants
42AA461|soin parental - AA - par d'autres enfants
42AA462|baby-sitter, garde d'enfants - AA - par d'autres enfants
42AA5|enfant (à la maison) - AA - fille
42AA50|'Pueritia' (Ripa) - AA - fille
42AA51|petit enfant - AA - fille
42AA511|apprendre à marcher, les premiers pas - AA - fille
42AA5111|marcher à quatre pattes, ramper (enfants apprenant à marcher) - AA - fille
42AA5112|instruments pour apprendre à marcher, trotteur - AA - fille
42AA5113|protège-tête (enfant apprenant à marcher) - AA - fille
42AA512|apprendre à parler - AA - fille
42AA52|petit enfant jouant; enfant s'amusant soi-même - AA - fille
42AA53|soins hygiéniques ~ enfants - AA - fille
42AA54|mauvaises habitudes - AA - fille
42AA541|ronger ses ongles - AA - fille
42AA542|sucer son pouce - AA - fille
42AA55|peines enfantines - AA - fille
42AA551|peines enfantines réconfortées - AA - fille
42AA552|enfant fugueur - AA - fille
42AA5521|chercher et trouver un enfant fugueur - AA - fille
42AA553|retour de l'enfant fugueur - AA - fille
42AA56|grandir - AA - fille
42AA561|mesurer l'enfant - AA - fille
42AA562|enfant perdant ses dents - AA - fille
42AA57|tâches accomplies par des enfants - AA - fille
42AA571|enfant faisant des courses - AA - fille
42AA58|gamin hirsute, Pierre l'Ébouriffé, 'Struwwelpeter' - AA - fille
42AA59|croque-mitaine, père fouettard, loup-garou - AA - fille
42B|parents avec leurs enfants
42B1|amour parental
42B11|amour paternel
42B111|père avec son (ses) fils (amour paternel)
42B112|père avec sa (ses) fille(s) (amour paternel)
42B113|père avec son (ses) fils et sa (ses) fille(s) (amour paternel)
42B12|amour maternel
42B121|mère avec son (ses) fils (amour maternel)
42B122|mère avec sa (ses) fille(s) (amour maternel)
42B123|mère avec son (ses) fils et sa (ses) fille(s) (amour maternel)
42B2|absence d'amour parental, mauvais parents
42B20|'Oblivione d'amore verso i figliuoli' (Ripa)
42B21|renier, désavouer un enfant
42B22|parents adoptifs
42B221|beau-père
42B222|belle-mère
42B29|tuer un enfant (absence d'amour parental)
42B3|enfant trouvé (et adoption)
42B31|abandonner un enfant
42B311|enfant arraché à sa mère
42B312|enfant substitué, substitution d'un autre enfant au véritable enfant (nouveau-né)
42B32|trouver un enfant abandonné
42B321|adoption (d'un enfant)
42B3210|'Adottione' (Ripa)
42B322|légitimation, reconnaître un enfant (au mariage)
42B33|enfant trouvé ou adopté et ses parents adoptifs
42B34|enfant trouvé ou adopté à la recherche de ses parents d'origine
42B35|la reconnaissance (d'un enfant abandonné par ses parents d'origine)
42B351|moyens d'identification (d'un enfant abandonné)
42B36|enfant illégitime, bâtard
42B361|enquête sur la paternité
42B362|mère célibataire
42B4|amour filial, 'Pietas filiorum'
42B40|'Pietá de figliuoli verso il padre' (Ripa)
42B41|Péro et Micon ('Caritas romana')
42B42|fille allaitant une vieille mère (variante sur la 'Caritas romana')
42B43|sauver ses parents (en particulier en les portant sur le dos)
42B5|absence d'amour filial
42B51|parents pauvres, enfants riches (absence d'amour filial)
42B52|histoire de la couverture de cheval (absence d'amour filial)
42B53|tirer sur le cadavre de son père : deux héritiers rivaux sont forcés par le juge de tirer une flèche sur un cadavre; le faux héritier n'hésite pas à tirer; le vrai refuse sachant qu'il tirerait sur son père
42B54|parricide, tuer un parent
42B541|tuer son père
42B542|tuer sa mère
42B6|orphelins
42B61|tuteur, tutrice
42B610|'Tutela' (Ripa)
42B7|la vie en famille
42B71|la vie familiale à la maison
42B72|la famille en voyage, en vacances
42B73|scènes de la vie familiale autres que celles à la maison ou en voyage
42B74|groupe familial, en particulier les parents avec leur(s) enfant(s)
42B74(...)|groupe familial, en particulier les parents avec leur(s) enfant(s) (avec NOMBRE d'enfants)
42B741|le père avec son (ses) enfant(s), homme et enfant(s) (groupe familial)
42B741(...)|le père avec son (ses) enfant(s), homme et enfant(s) (groupe familial) (avec NOMBRE d'enfants)
42B7411|père et fils (groupe familial)
42B7411(...)|père et fils (groupe familial) (avec NOMBRE de fils)
42B7412|père et fille(s) (groupe familial)
