0|Art abstrait, non-figuratif
11F42122|Madone (ou Marie seule) sur le trône de Salomon, parfois en compagnie des Vertus
11F4213|Marie assise, éventuellement sur un trône, avec devant elle l'enfant Jésus couché sur ses genoux (ou contre sa poitrine); parfois dans la position de la Pietà
11F422|Marie assise, éventuellement sur un trône, avec l'enfant Jésus sur ses genoux (Jésus à la gauche de Marie)
11F4221|Marie assise, éventuellement sur un trône, avec l'enfant Jésus debout sur ses genoux (Jésus à la gauche de Marie)
11F4222|Marie assise, éventuellement sur un trône, avec l'enfant Jésus assis sur ses genoux (Jésus à la gauche de Marie)
11F4223|Marie assise, éventuellement sur un trône, avec l'enfant Jésus couché sur ses genoux (Jésus à la gauche de Marie)
11F423|aspects particuliers de Madone assise, éventuellement sur un trône (et non accompagnée d'autres personnes)
11F4231|Marie dans la roseraie, 'Paradiesgärtlein'
11F4232|Madone entourée de guirlandes de fleurs ou de fruits
11F4233|Madone dans un arbre
11F43|Madone : Marie assise à terre avec l'enfant Jésus sur ses genoux
11F431|Marie assise à terre avec l'enfant Jésus devant elle dans son giron
11F4311|Marie assise à terre avec devant elle l'enfant Jésus debout dans son giron
11F4312|Marie assise à terre avec devant elle l'enfant Jésus assis dans son giron
11F4313|Marie assise à terre avec devant elle l'enfant Jésus couché dans son giron
11F43131|'Madonna dell'Umiltà' : (terme généralement utilisé pour Marie assise à terre allaitant l'enfant Jésus)
11F4314|Marie assise à terre avec devant elle l'enfant Jésus agenouillé dans son giron
11F432|Marie assise à terre avec l'enfant Jésus sur ses genoux (Jésus à la gauche de Marie)
11F4321|Marie assise à terre avec l'enfant Jésus debout ou marchant sur ses genoux (Jésus à la gauche de Marie)
11F4322|Marie assise à terre avec l'enfant Jésus assis sur ses genoux (Jésus à la gauche de Marie)
11F4323|Marie assise à terre avec l'enfant Jésus couché sur ses genoux (Jésus à la gauche de Marie)
11F4324|Marie assise à terre avec l'enfant Jésus agenouillé sur ses genoux (Jésus à la gauche de Marie)
11F44|Madone : Marie (debout) avec l'enfant Jésus isolé (ou s'appuyant contre elle)
11F441|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle)
11F4411|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus debout
11F4412|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus assis
11F4413|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus couché
11F4414|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus agenouillé
11F442|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle)
11F4421|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus debout
11F4422|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus assis
11F4423|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus couché
11F4424|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus agenouillé
11F45|Marie agenouillée (à terre) avec l'enfant Jésus devant elle
11F451|Marie agenouillée (à terre) avec l'enfant Jésus debout devant elle
11F452|Marie agenouillée (à terre) avec l'enfant Jésus assis devant elle
11F453|Marie agenouillée (à terre) avec l'enfant Jésus couché devant elle
11F454|Marie agenouillée (à terre) avec l'enfant Jésus agenouillé devant elle
11F46|l'enfant Jésus assis sur l'épaule de Marie
11F461|Marie debout, l'enfant Jésus assis sur son épaule
11F462|Marie assise, sur un trône, l'enfant Jésus assis sur son épaule
11F463|Marie assise à terre, l'enfant Jésus assis sur son épaule
11F464|Marie agenouillée, l'enfant Jésus assis sur son épaule
11F5|Madone (Marie et l'enfant Jésus) flottant dans les airs ou sur des nuages
11F6|Madone (Marie et l'enfant Jésus) accompagnée, entourée d'autres personnes
11F61|Madone accompagnée d'un ou de saint(s)
11F611|'Sacra Conversazione'
11F612|'Ueber dich freut sich'
11F62|types particuliers de Madone en compagnie d'autres
11F621|'Regina Coeli', 'Regina Angelorum', 'Maestà' ~ Madone
11F6211|'Regina Coeli', 'Regina Angelorum', 'Maestà', en présence de Jean Baptiste
11F622|'Virgo inter Virgines'
11F623|Vierge-du-Rosaire
11F624|Vierge de Miséricorde,'Mater Misericordiae', 'Schutzmantelmadonna','Schutzmantelmaria'
11F63|Madone (Marie avec l'enfant Jésus) en patronne, protectrice, p.ex. d'une congrégation ou d'une confrérie
11F7|aspects particuliers ~ représentations de la Madone (N.B. à utiliser uniquement comme notation secondaire)
11F71|aspects particuliers de l'enfant Jésus ~ représentations de la Madone (N.B. à utiliser uniquement comme notation secondaire)
11F711|l'enfant Jésus soit faisant un geste d'orateur, soit bénissant ~ représentations de la Madone
11F712|l'enfant Jésus regardant en dehors de l'image ~ représentations de la Madone
11F713|l'enfant Jésus regardant vers un, ou des saint(s) ~ représentations de la Madone
11F714|l'enfant Jésus dormant ~ représentations de la Madone
11F715|l'enfant Jésus tenant quelque chose en main, p.ex. une pomme, un oiseau, des cerises, un crucifix, des raisins, un moulinet ~ représentations de la Madone
11F7151|l'enfant Jésus remettant quelque chose à quelqu'un ~ représentations de la Madone
11F7152|l'enfant Jésus recevant ou prenant quelque chose de quelqu'un ~ représentations de la Madone
11F716|l'enfant Jésus mangeant ~ représentations de la Madone
11F717|l'enfant Jésus jouant ~ représentations de la Madone
11F7171|l'enfant Jésus jouant avec des anges ~ représentations de la Madone
11F7172|l'enfant Jésus jouant avec l'agneau ~ représentations de la Madone
11F72|aspects particuliers de l'enfant Jésus par rapport à Marie ~ représentations de la Madone (N.B. à utiliser uniquement comme notation secondaire)
11F721|l'enfant Jésus regardant ou se retournant vers Marie ~ représentations de la Madone
11F722|l'enfant Jésus étendant les bras vers Marie; lui montrant quelque chose ~ représentations de la Madone
11F723|l'enfant Jésus soulevant le voile de Marie, s'agrippant à sa robe, mettant ses mains sur sa poitrine ~ représentations de la Madone
11F724|l'enfant Jésus jetant ses bras autour du cou de Marie ~ représentations de la Madone
11F725|l'enfant Jésus ayant sa joue contre celle de Marie, ou l'embrassant ~ représentations de la Madone
11F726|l'enfant Jésus buvant, ou sur le point de boire, au sein de Marie, p.ex. quand sa mère découvre sa poitrine ~ représentations de la Madone
11F7261|'ablactatio' : Marie, la poitrine découverte, avec l'enfant Jésus qui ne boit pas ~ représentations de la Madone
11F7269|l'enfant Jésus refusant de boire au sein de Marie ~ représentations de la Madone
11F727|Marie tenant un encrier et l'enfant Jésus écrivant ~ représentations de la Madone
11F728|l'enfant Jésus couronnant Marie ~ représentations de la Madone
11F73|aspects particuliers de Marie ~ représentations de la Madone (N.B. à utiliser uniquement comme notation secondaire
11F731|Marie tenant quelque chose en main, p.ex. une pomme, une grappe de raisin, un crucifix, un chardonneret ~ représentations de la Madone
11F732|Marie assise sur des marches ou sur un escalier ~ représentations de la Madone
11F74|autres aspects particuliers de la Madone
11F741|en compagnie de Jean Baptiste enfant ~ représentations de la Madone (N.B. notation secondaire uniquement)
11F8|miracles, apparitions et légendes ~ Marie
11F81|statues miraculeuses de Marie ou de la Madone
11F81(...)|statues miraculeuses de Marie ou de la Madone (avec NOM)
11F82|apparitions de Marie
11F83|légendes et miracles ~ Marie
11F831|la légende du moine Théophile, qui avait vendu son âme au diable ~ légendes de Marie
11F8311|la pénitence de Théophile
11F832|la légende du garçon juif : l'enfant s'étant brûlé en avalant une hostie est guéri par Marie
11F833|Marie sauvant un enfant qui avait été dédié au diable
11F834|la maison de la Vierge à Nazareth (la Santa Casa) transportée à Lorette ~ légendes de Marie
11F9|dévotion de Marie
11F91|sacré-coeur de Marie
11F92|reliques de Marie
11FF25|'Mater Dolorosa' - FF - 'Mater Dolorosa', tête ou buste
11FF251|Marie pleurant - FF - 'Mater Dolorosa', tête ou buste
11FF252|Marie percée d'une épée - FF - 'Mater Dolorosa', tête ou buste
11FF253|Marie avec les instruments de la Passion - FF - 'Mater Dolorosa', tête ou buste
11FF412|Marie debout (ou à mi-corps), l'enfant Jésus sur son bras (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4121|Marie debout (ou à mi-corps), l'enfant Jésus debout sur son bras (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4122|Marie debout (ou à mi-corps), l'enfant Jésus assis sur son bras (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF41223|'Eleousa', Éléousa, 'Glykophilousa' ~ Madone - FF - l'enfant Jésus à la droite de Marie
11FF4123|Marie debout (ou à mi-corps), l'enfant Jésus couché sur son bras (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF41231|'Galaktotrophousa' ~ Madone - FF - l'enfant Jésus à la droite de Marie
11FF422|Marie assise, éventuellement sur un trône, avec l'enfant Jésus sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4221|Marie assise, éventuellement sur un trône, avec l'enfant Jésus debout sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4222|Marie assise, éventuellement sur un trône, avec l'enfant Jésus assis sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4223|Marie assise, éventuellement sur un trône, avec l'enfant Jésus couché sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF432|Marie assise à terre avec l'enfant Jésus sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4321|Marie assise à terre avec l'enfant Jésus debout ou marchant sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4322|Marie assise à terre avec l'enfant Jésus assis sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4323|Marie assise à terre avec l'enfant Jésus couché sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF4324|Marie assise à terre avec l'enfant Jésus agenouillé sur ses genoux (Jésus à la gauche de Marie) - FF - l'enfant Jésus à la droite de Marie
11FF44|Madone : Marie (debout) avec l'enfant Jésus isolé (ou s'appuyant contre elle) - FF - Marie assise, éventuellement sur un trône
11FF441|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle) - FF - Marie assise, éventuellement sur un trône
11FF4411|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus debout - FF - Marie assise, éventuellement sur un trône
11FF4412|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus assis - FF - Marie assise, éventuellement sur un trône
11FF4413|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus couché - FF - Marie assise, éventuellement sur un trône
11FF4414|Marie (debout) avec devant elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus agenouillé - FF - Marie assise, éventuellement sur un trône
11FF442|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle) - FF - Marie assise, éventuellement sur un trône
11FF4421|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus debout - FF - Marie assise, éventuellement sur un trône
11FF4422|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus assis - FF - Marie assise, éventuellement sur un trône
11FF4423|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus couché - FF - Marie assise, éventuellement sur un trône
11FF4424|Marie (debout) avec à côté d'elle l'enfant Jésus (isolé ou s'appuyant contre elle); Jésus agenouillé - FF - Marie assise, éventuellement sur un trône
11G|anges
11G1|les neuf choeurs des anges, l'hiérarchie des anges
11G11|Séraphin
11G12|Chérubin
11G13|Trônes (qui tiennent des trônes) ~ hiérarchie des anges
11G14|les Dominations (avec sceptre et épée) ~ hiérarchie des anges
11G15|les Vertus (qui tiennent les instruments de la Passion) ~ hiérarchie des anges
11G16|les Puissances (avec épée ardente) ~ hiérarchie des anges
11G17|les Principautés (avec épée, sceptre et croix) ~ hiérarchie des anges
11G18|les sept archanges
11G181|groupe de quatre archanges
11G182|groupe des trois archanges canoniques : Michel, Gabriel et Raphaël
11G183|l'archange Michel (souvent en armure, avec épée et lance)
11G1831|'psychostasis', la pesée des âmes : l'archange Michel avec une balance sur laquelle il pèse les âmes (tout en terrassant le diable)
11G1832|l'archange Michel conduisant une âme au ciel
11G1833|l'archange Michel refusant à une âme l'entrée au ciel
11G1834|apparitions de l'archange Michel
11G18341|sur le Gargano saint Michel apparaît à Garganus, l'évêque de Siponte, qui avait tiré une flèche sur un taureau
11G1835|miracles de l'archange Michel
11G184|l'archange Gabriel
11G1841|l'archange Gabriel annonce à Marie et à l'enfant Jésus la passion du Christ
11G185|l'archange Raphaël
11G186|autres archanges à part Michel, Gabriel et Raphaël
11G186(...)|autres archanges à part Michel, Gabriel et Raphaël (avec NOM)
11G186(URIEL)|autres archanges à part Michel, Gabriel et Raphaël : Uriel
11G19|ange(s) mineur(s)
11G191|angelot(s), petits anges
11G1911|chérubin(s) : tête(s) d'enfant ailées
11G192|ange(s) en adolescent(s) ou adulte(s)
11G1921|ange(s) avec livre, rouleau ou banderole
11G1922|ange(s) avec sceptre et/ou globe
11G1923|ange(s) avec flambeau
11G1924|ange(s) avec encensoir
11G1925|ange(s) avec calice
11G1926|ange(s) avec d'autres objets, p.ex. des armes
11G193|anges féminins
11G194|ange(s) sous une forme non humaine
11G1941|ange(s) sous l'aspect de rayons de lumière
11G1942|ange(s) sous la forme de roue(s) ailée(s)
11G2|activités des anges (au ciel)
11G21|ange(s) chantant, jouant de la musique
11G22|ange(s) célébrant l'Eucharistie
11G23|ange(s) couronnant et/ou apportant des palmes
11G24|ange(s) tenant un rideau
11G25|ange(s) en adoration
11G26|ange(s) montant à cheval
11G3|ange(s) combattant
11G31|l'archange Michel combattant le dragon (le diable, Satan)
11G311|l'archange Michel se reposant à côté du dragon terrassé
11G32|l'archange Michel (avec d'autres anges) chassant les anges rebelles du ciel
11G321|les anges chassant les anges rebelles du ciel (en absence de l'archange Michel)
11G33|la chute des anges rebelles, qui deviennent des diables
11G331|la chute de Satan, ou de Lucifer
11G34|ange(s) combattant d'autres puissances malfaisantes
11G4|aspects particuliers des anges, p.ex. intervenant dans les affaires humaines
11G41|ange gardien
11G42|ange(s) sauvant une âme poursuivie par un diable
11G43|ange destructeur
11G44|ange en tant que patron
