2|Natuur
24A720|'Equinottio dell'autunno' (Ripa)
24A73|wintersolstitium
24A730|'Solstitio hiemale' (Ripa)
24A74|lente-equinox
24A740|'Equinottio della primavera' (Ripa)
24A8|zonlicht
24A81|zonnestralen
24B|maan als hemellichaam
24B1|wassende maan, d.w.z. deze kant op kijkend: )
24B11|wassende maan gerepresenteerd als gezicht
24B2|volle maan
24B21|volle maan gerepresenteerd als gezicht
24B3|afnemende maan, d.w.z. naar deze kant gericht (
24B31|afnemende maan gerepresenteerd als gezicht
24B4|eclips van de maan
24B5|oppervlakte van de maan
24B6|maanlicht
24B61|maanstralen
24B62|beschouwing van de maan, 'schwärmen'
24B7|maanopkomst
24B8|het instellen van de maan
24C|planeten (behalve de aarde)
24C1|planeten; planetair systeem, zonnestelsel
24C11|Ceres (planeet)
24C12|Jupiter (planeet)
24C13|Mars (planeet)
24C14|Mercurius (planeet)
24C15|Neptunus (planeet)
24C16|Pluto (planeet)
24C17|Saturn (planeet)
24C18|Uranus (planeet)
24C19|Venus (planeet)
24C191|ochtendster (Venus)
24C192|avondster (Venus of andere planeet)
24C2|de mensheid wordt beïnvloed door de planeten, inclusief de zon en de maan; 'Planetenkinder'
24C21|(personificaties van de) planeten met hun 'children', de zogenaamde 'Planetenkinder'
24C211|Saturn en zijn kinderen ('Planetenkinder')
24C212|Jupiter en zijn kinderen ('Planetenkinder')
24C213|Mars en zijn kinderen ('Planetenkinder')
24C214|Sol en zijn kinderen ('Planetenkinder')
24C215|Venus en haar kinderen ('Planetenkinder')
24C216|Mercurius en zijn kinderen ('Planetenkinder')
24C217|Luna en haar kinderen ('Planetenkinder')
24C22|(personificaties van de) planeten met hun 'children', de zogenaamde 'Planetenkinder', vergezeld door de bijbehorende dierenriemtekens
24C221|Saturnus en zijn kinderen ('Planetenkinder') ~ Waterman en Steenbok
24C222|Jupiter en zijn kinderen ('Planetenkinder') ~ Vissen en Boogschutter
24C223|Mars en zijn kinderen ('Planetenkinder') ~ Ram en Schorpioen
24C224|Sol en zijn kinderen ('Planetenkinder') ~ Leo
24C225|Venus en haar kinderen ('Planetenkinder') ~ Stier en Weegschaal
24C226|Mercury en zijn kinderen ('Planetenkinder') ~ Tweelingen en Maagd
24C227|Luna and her children ('Planetenkinder') ~ Kreeft
24C3|canonieke groep van zeven planeten die symbolisch metalen vertegenwoordigen
24C31|de zon vertegenwoordigt goud
24C32|de maan die zilver symboliseert
24C33|Mercury vertegenwoordigt het metaal kwik.
24C34|Venus vertegenwoordigt koper
24C35|Mars vertegenwoordigt ijzer
24C36|Jupiter vertegenwoordigt tin
24C37|Saturn vertegenwoordigt lood.
24C39|andere hemellichamen die metalen vertegenwoordigen
24C39(...)|andere hemellichamen die metalen vertegenwoordigen (met NAAM)
24C39(URANUS)|Uranus vertegenwoordigt platina
24D|sterren
24D0|sterren, symbolisch of allegorisch gerepresenteerd
24D1|sterren en sterrenbeelden
24D1(...)|sterren en sterrenbeelden (met NAAM)
24D1(ORION)|sterren en sterrenbeelden: Orion
24D1(POLARIS)|sterren en sterrenbeelden: Polaris, Poolster
24D1(SIRIUS)|sterren en sterrenbeelden: Sirius
24D11|catasterisme, het eren van een persoon door hem op te nemen tussen de sterren
24D2|sterrenstelsels
24D21|Melkweg
24D211|ontstaan van de Melkweg (Juno zoogt Hercules)
24D4|andere sterrenstelsels of stellaire systemen
24D4(...)|andere sterrenstelsels of stellaire systemen (met NAAM)
24E|astronomische verschijnselen
24E1|komeet
24E10|'Cometa, ninfa dell'aria' (Ripa)
24E2|meteor
24E3|meteorieten
24F|firmament, lucht
24F1|overpeinzen het uitspansel
24F2|sterren aan het firmament
24G|spheres ~ hemelen
24G1|empyreum
25|aarde, wereld als hemellichaam
250|'Mondo', 'Machina del mondo' (Ripa)
25A|kaarten, atlassen
25A1|kaart van de wereld
25A11|kaart in vierkante of cirkelvorm volgens oude ideeën over de vorm van de wereld
25A111|centrum van de wereld, 'omphalos' (op kaart of atlas)
25A1111|kaart met Jeruzalem als centrum
25A1112|map met Delphi als 'omphalos'
25A12|moderne projecties ~ kaart van de wereld
25A13|wereldbol
25A131|wereldbol in de vorm van een icosaëder
25A14|de vier hoofdrichtingen
25A141|noord (één van de vier hoofdrichtingen)
25A1410|'Settentrione' (Ripa)
25A142|oost (één van de vier hoofdrichtingen)
25A1420|'Oriente' (Ripa)
25A1421|oriëntatie, gericht naar het oosten
25A143|zuid (één van de vier hoofdrichtingen)
25A1430|'Mezzodì' (Ripa)
25A144|west (een van de vier hoofdrichtingen)
25A1440|'Occidente' (Ripa)
25A15|breedtegraad en lengtegraad
25A151|breedtegraad
25A1511|equator
25A1512|tropen
25A152|lengtegraad
25A1521|meridiaan
25A2|kaarten van de continenten en de poolgebieden
25A21|(kaart van) Europa
25A22|(kaart van) Azië
25A23|(kaart van) Eurazië
25A24|(kaart van) Afrika
25A25|(kaart van) Amerika
25A251|(kaart van) Noord-Amerika
25A252|kaart van Zuid-Amerika
25A26|(kaart van) Australië
25A27|(kaart van) de poolgebieden, koude zones
25A271|(kaart van) de Noordpool
25A272|(kaart van) de Zuidpool
25A3|kaarten van afzonderlijke landen of regio's
25A3(...)|kaarten van afzonderlijke landen of regio's (met NAAM)
25A4|kaarten van steden
25A4(...)|kaarten van steden (met NAAM)
25A5|zeevaartkaarten
25A9|kaart maken
25A90|'Corografia', 'Geografia', 'Hidrografia' (Ripa)
25A91|geodesie, landmeten
25A910|'Altimetria' (Ripa)
25A911|instrumenten gebruikt in de geodesie, landmeetkundige instrumenten
25A911(...)|instrumenten gebruikt in de geodesie, landmeetkundige instrumenten (met NAAM)
25A9111|Jacob's stok (meetinstrument)
25B|continenten worden allegorisch voorgesteld
25B1|Europa vertegenwoordigd allegorisch; 'Europa' (Ripa)
25B2|Azië wordt allegorisch voorgesteld; 'Asia' (Ripa)
25B3|Afrika wordt allegorisch voorgesteld; 'Africa' (Ripa)
25B4|Amerika allegorisch voorgesteld; 'America' (Ripa)
25B5|Australië wordt allegorisch vertegenwoordigd
25B6|de poolgebieden, koude zones allegorisch gerepresenteerd
25B61|allegorische voorstelling van de Noordpool
25B62|allegorische voorstelling van de Zuidpool
25C|geologische verschijnselen
25C1|vulkanisme
25C11|uitbarsting (van vulkaan)
25C111|stroom van lava
25C112|aswolk
25C12|vulkaan
25C13|warme bron, geiser
25C14|dampen, zwavel, enz.
25C15|aardbeving
25C150|'Terremoto' (Ripa)
25C151|gevolgen van een aardbeving
25C16|ontstaan van bergketen, enz.
25C17|ontstaan van eiland
25C19|uitgestorven vulkaan
25C191|vulkanische formaties
25C192|koude lava
25C2|terrestrische magnetisme
25C21|kompas
25C211|kompaskaart
25D|gesteentetypes; mineralen en metalen; grondsoorten
25D1|rots types
25D11|edelstenen en halfedelstenen
25D11(...)|edelstenen en halfedelstenen (met NAAM)
25D11(ALMANDINE)|edelstenen en halfedelstenen: almandijn
25D11(AMETHYST)|edelstenen en halfedelstenen: amethist
25D11(CHALCEDONY)|edel- en halfedelstenen: chalcedoon
25D11(CHRYSOBERYL)|edelstenen en halfedelstenen: chrysoberyl
25D11(CHRYSOLITE)|edelstenen en halfedelstenen: chrysoliet
25D11(CHRYSOPRASE)|edelstenen en halfedelstenen: chrysopraas
25D11(DIAMOND)|edelstenen en halfedelstenen: diamant
25D11(EMERALD)|edelstenen en halfedelstenen: smaragd
25D11(JASPER)|edelstenen en halfedelstenen: jaspis
25D11(ROCK-CRYSTAL)|edelstenen en halfedelstenen: rotskristal
25D11(RUBY)|edelstenen en halfedelstenen: robijn
25D11(SAPPHIRE)|edelstenen en halfedelstenen: saffier
25D11(TOPAZ)|edelstenen en halfedelstenen: topaas
25D11(TURQUOISE)|edel- en halfedelstenen: turquoise
25D12|soorten niet-edelstenen
25D12(...)|soorten niet-edelsteen (met NAAM)
25D12(CHALK)|soorten niet-edelsteen: krijt
25D12(FLINT)|soorten niet-edelsteen: vuursteen
25D12(MARBLE)|soorten niet-edelsteen: marmer
25D12(PUMICE)|soorten niet-edelsteen: puimsteen
25D13|mineralen en metalen
25D13(...)|mineralen en metalen (met NAAM)
25D13(BITUMEN)|mineralen en metalen: bitumen
25D13(COPPER)|mineralen en metalen: koper
25D13(GOLD)|mineralen en metalen: goud
25D13(IRON)|mineralen en metalen: ijzer
25D13(LEAD)|mineralen en metalen: lood
25D13(MAGNETITE)|mineralen en metalen: magnetiet
25D13(MERCURY)|mineralen en metalen: kwik
25D13(PLATINUM)|mineralen en metalen: platinum
25D13(SILVER)|mineralen en metalen: zilver
25D13(SULPHUR)|mineralen en metalen: zwavel
25D13(TIN)|mineralen en metalen: tin
25D14|gesteentes van dierlijke of plantaardige oorsprong
25D141|anthraciet, hardkool
25D142|lignite, bruinkool
25D143|amber (fossiele hars)
25D15|kristallen
25D2|grondsoorten
25D21|aarde (grondsoort)
25D211|humus (bodemtype)
25D22|grind (grondsoort)
25D23|zand (grondsoort)
25D24|klei (grondsoort)
25D241|leem (grondsoort)
25D242|leem (grondsoort)
25D25|veen (grondsoort)
25D26|modder (grondsoort)
25D29|stof (grondsoort)
25D3|mijnbouw
25D31|van mij
25D311|opencast mijn; dagbouw
25D312|schachten en galerijen (van een mijn)
25D32|mijnwerker
25D321|prospectiebedrijf
25D33|oppervlaktestructuren en omgeving van een mijn
25D34|steengroeve
25D35|smelten, extraheren uit erts; hoogoven
25D4|vloeistoffen en gassen gewonnen uit de aarde
25D41|mineraalwater
25D411|geneeskrachtige bron
25D42|andere vloeistoffen (met uitzondering van olie)
25D42(...)|andere vloeistoffen (met uitzondering van olie) (met NAAM)
25D421|spring (vloeistoffen gewonnen uit de aarde)
25D43|olie; olieraffinaderij
25D431|boren naar olie
25D4311|derrick ~ olie
25D4312|(marine) boorplatform
25D432|pompen van olie
25D4321|gusher ~ olie
25D433|transport van olie
25D4331|pijpleiding ~ transport van olie
25D434|raffinaderij ~ olie
25D435|olie tanks
25D44|asfalt
25D45|gas gewonnen uit de grond
25D451|gas gewonnen uit steenkool
25D4511|gasfabriek
25D4512|gashouder, gastank
25D5|beweging in geologische lagen
25E|geologische-chronologische indeling; historische geologie; geologisch tijdperk
25E(...)|geologische-chronologische indeling; historische geologie; geologisch tijdperk (met NAAM van periode)
25E(BIG BANG)|geologische-chronologische indeling; geologisch tijdperk: Big Bang
25E(CENOZOIC)|geologische-chronologische indeling; geologisch tijdperk: Cenozoïcum
25E(PALEOZOIC)|geologische-chronologische indeling; geologisch tijdperk: Paleozoïcum
25E(TERTIARY)|geologische-chronologische indeling; geologisch tijdperk: Tertiair
25F|dieren
25F1|groepen dieren
25F2|zoogdieren
25F21|groepen van zoogdieren
25F22|apen
25F22(...)|apen (met NAAM)
25F22(BABOON)|apen: baviaan
25F23|roofdieren
25F23(...)|roofdieren (met NAAM)
25F23(BADGER)|roofdieren: das
25F23(BEAR)|roofdieren: beer
25F23(CHEETAH)|roofdieren: cheeta
25F23(ERMINE)|roofdieren: hermelijn
25F23(FERRET)|roofdieren: fret
25F23(FOX)|roofdieren: vos
25F23(HYENA)|roofdieren: hyena
25F23(ICHNEUMON)|roofdieren: ichneumon
25F23(LEOPARD)|roofdieren: luipaard
25F23(LION)|roofdieren: leeuw
25F23(LYNX)|roofdieren: lynx
25F23(MANGOUSTE)|roofdieren: mangoest
25F23(MARTEN)|roofdieren: marter
25F23(OTTER)|roofdieren: otter
25F23(PANTHER)|roofdieren: panter
25F23(POLAR BEAR)|roofdieren: ijsbeer
25F23(SABLE)|roofdieren: sabel
25F23(TIGER)|roofdieren: tijger
25F23(WEASEL)|roofdieren: wezel
25F23(WOLF)|roofdieren: wolf
25F24|gehoefde dieren
25F24(...)|gehoefde dieren (met NAAM)
25F24(ANTELOPE)|gehoefde dieren: antilope
25F24(BISON)|gehoefde dieren: bizons
25F24(BOAR)|gehoefde dieren: wild zwijn
25F24(CAMEL)|gehoefde dieren: kameel
25F24(DEER)|gehoefde dieren: herten
25F24(DROMEDARY)|gehoefde dieren: dromedaris
25F24(ELK)|gehoefde dieren: elanden
25F24(GAZELLE)|gehoefde dieren: gazelle
25F24(GIRAFFE)|gehoefde dieren: giraffe
25F24(GNU)|gehoefde dieren: gnoe
25F24(HIPPOPOTAMUS)|gehoefde dieren: nijlpaard
25F24(IBEX)|gehoefde dieren: steenbok
25F24(MUSK-DEER)|gehoefde dieren: muskushert
25F24(ONAGER)|gehoefde dieren: onager
25F24(ORYX)|gehoefde dieren: oryx
25F24(QUAGGA)|gehoefde dieren: quagga
25F24(RHINOCEROS)|gehoefde dieren: neushoorn
25F24(STAG)|gehoefde dieren: hert
25F24(ZEBRA)|gehoefde dieren: zebra
25F25|slurfdieren dieren
25F25(...)|slurfdieren dieren (met NAAM)
25F25(ELEPHANT)|slurfdieren: olifant
25F26|knaagdieren
25F26(...)|knaagdieren (met NAAM)
25F26(BEAVER)|knaagdieren: bever
25F26(HARE)|knaagdieren: haas
25F26(MOUSE)|knaagdieren: muis
25F26(MUSK-RAT)|knaagdieren: muskusrat
25F26(RABBIT)|knaagdieren: konijn
25F26(RAT)|knaagdieren: rat
25F26(SQUIRREL)|knaagdieren: eekhoorn
25F26(WOMBAT)|rodents: wombat
25F27|zwemmende zoogdieren
25F27(...)|zwemmende zoogdieren (met NAAM)
25F27(DOLPHIN)|zwemmende zoogdieren: dolfijn
25F27(SEAL)|zwemmende zoogdieren: zeehond
25F27(WHALE)|zwemmende zoogdieren: walvis
25F28|vliegende zoogdieren
25F28(...)|vliegende zoogdieren (met NAAM)
25F28(BAT)|vliegende zoogdieren: vleermuis
25F29|andere zoogdieren
25F29(...)|andere zoogdieren (met NAAM)
25F29(ARMADILLO)|andere zoogdieren: gordeldier
25F29(HEDGEHOG)|andere zoogdieren: egel
25F29(KANGAROO)|andere zoogdieren: kangoeroe
25F29(MOLE)|andere zoogdieren: mol
25F29(PORCUPINE)|andere zoogdieren: stekelvarken
25F29(SLOTH)|andere zoogdieren: luiaard
25F3|vogels
25F31|groepen vogels
25F32|zangvogels
25F32(...)|zangvogels (met NAAM)
25F32(BLACKBIRD)|song-vogels: merel
25F32(CROW)|song-vogels: kraai
25F32(FINCH)|zangvogels: vink
25F32(GOLDFINCH)|zangvogels: putter
25F32(JACKDAW)|zangvogels: kauw
25F32(LARK)|song-vogels: leeuwerik
25F32(MAGPIE)|zangvogels: ekster
25F32(NIGHTINGALE)|zangvogels: nachtegaal
25F32(RAVEN)|zangvogels: raaf
25F32(ROBIN)|zangvogels: roodborstje
25F32(SPARROW)|zangvogels: sparrow
25F32(STARLING)|zangvogels: spreeuw
25F32(SWALLOW)|zangvogels: zwaluw
25F32(THRUSH)|zangvogels: lijster
25F32(TIT)|zangvogels: mees
25F32(WAGTAIL)|zangvogels: kwikstaart
25F32(WARBLER)|zangvogels: zanger
25F32(WHITE THROAT)|zangvogels: witte keel
25F32(WREN)|zangvogels: winterkoning
25F33|roofvogels
25F33(...)|roofvogels (met NAAM)
25F33(EAGLE)|roofvogels: arend
25F33(FALCON)|roofvogels: valk
25F33(FISH-HAWK)|roofvogels: visarend
25F33(HAWK)|roofvogels: havik
25F33(KITE)|roofvogels: wouw
25F33(SPARROW-HAWK)|roofvogels: sperwer
25F33(VULTURE)|roofvogels: gier
25F34|uilen
25F35|siervogels
25F35(...)|siervogels (met NAAM)
25F35(BIRD OF PARADISE)|siervogels: paradijsvogel
25F35(COCKATOO)|siervogels: kaketoe
25F35(HORNBILL)|siervogels: neushoornvogel
25F35(PARROT)|siervogels: papegaai
25F35(PEACOCK)|siervogels: pauw
25F36|watervogels
25F36(...)|water-vogels (met NAAM)
25F36(COOT)|water-vogels: meerkoet
25F36(DIPPER)|water-vogels: dipper
25F36(DUCK)|water-vogels: eend
25F36(GOOSE)|water-vogels: gans
25F36(PELICAN)|water-vogels: pelikaan
25F36(SWAMP-HEN)|water-vogels: moeras-hoen
25F36(SWAN)|water-vogels: zwaan
25F37|kustvogels en waadvogels
25F37(...)|kustvogels en waadvogels (met NAAM)
25F37(BITTERN)|kustvogels en waadvogels: roerdomp
25F37(CRANE)|kustvogels en waadvogels: kraanvogel
25F37(GULL)|kustvogels en waadvogels: meeuw
25F37(HERON)|kustvogels en waadvogels: reiger
25F37(IBIS)|kustvogels en waadvogels: ibis
25F37(LAPWING)|kustvogels en steltlopers: kievit
25F37(MARABOU)|kustvogels en waadvogels: maraboe
25F37(PLOVER)|kustvogels en waadvogels: plevier
25F37(PURPLE WATER-HEN)|kustvogels en waadvogels: purperkoet
25F37(SNIPE)|kustvogels en waadvogels: snip
25F37(STORK)|kustvogels en waadvogels: ooievaar
25F37(TROCHILUS)|kustvogels en waadvogels: trochilus
25F37(WOODCOCK)|kustvogels en steltlopers: houtsnip
25F38|wandelaar en hardloper vogels
25F38(...)|loopvogels (met NAAM)
25F38(BUSTARD)|loopvogels: trap
25F38(OSTRICH)|loopvogels: struisvogel
25F38(PARTRIDGE)|loopvogels: patrijs
25F38(PHEASANT)|loopvogels: fazant
25F38(QUAIL)|loopvogels: kwartel
25F38(TURKEY)|loopvogels: kalkoen
25F39|andere vogels
25F39(...)|andere vogels (met NAAM)
25F39(CUCKOO)|andere vogels: koekoek
25F39(DODO)|andere vogels: dodo
25F39(DOVE)|andere vogels: duif
25F39(HOOPOE)|andere vogels: hop
25F39(HUMMING-BIRD)|andere vogels: kolibrie
25F39(KINGFISHER)|andere vogels: ijsvogel
25F39(TURTLE DOVE)|andere vogels: tortelduif
25F39(WOODPECKER)|andere vogels: specht
25F39(WRYNECK)|andere vogels: draaihals
25F4|reptielen
25F41|hagedissen
25F41(...)|hagedissen (met NAAM)
25F41(CHAMELEON)|hagedissen: kameleon
25F41(LIZARD)|hagedissen: hagedis
25F42|slangen
25F42(...)|slangen (met NAAM)
25F42(VIPER)|slangen: adder
25F43|krokodillen
25F43(...)|krokodillen (met NAAM)
25F43(ALLIGATOR)|krokodillen: alligator
25F43(CROCODILE)|krokodillen: krokodil
25F44|schildpadden
25F5|amfibieën
25F51|staartloze amfibieën
25F51(...)|staartloze amfibieën (met NAAM)
25F51(FROG)|staartloze amfibieën: kikker
25F51(TOAD)|staartloze amfibieën: pad
25F52|amfibieën met staart
25F52(...)|amfibieën met staart (met NAAM)
25F6|vissen
25F6(...)|vissen (met NAAM)
25F61|kraakbeenvissen
25F61(...)|kraakbeenvissen (met NAAM)
25F61(DOGFISH)|kraakbeenvissen: hondshaai
25F61(RAY)|kraakbeenvissen: rog
25F61(SAWFISH)|kraakbeenvissen: zaagvissen
25F61(SHARK)|kraakbeenvissen: haai
25F62|benige vissen
25F62(...)|benige vissen (met NAAM)
25F62(BARBEL)|beenvissen: baardmeerval
25F62(BUTTERFISH)|beenvissen: botervis
25F62(CARP)|beenvissen: karper
25F62(HERRING)|beenvissen: haring
25F62(HIPPOCAMPUS)|beenvissen: hippocampus
25F62(LUNGFISH)|beenvissen: longvissen
25F62(MACKEREL)|beenachtigen: makreel
25F62(MULLET)|beenvissen: harder
25F62(PIKE)|beenachtigen: snoek
25F62(PILOT-FISH)|beenvissen: loodsvissen
25F62(RED HERRING)|'red' of gerookte haring: Gebruik 41 C 68 (GEROOKTE HARING); haring: Gebruik 25 F 62 (HARING)
25F62(ROACH)|beenvissen: blankvoorn
25F62(SALMON)|beenachtige vissen: zalm
25F62(SARDINE)|beenvissen: sardien
