0|Abstracte, non-figuratieve Kunst
11DD3282|Christus in orante houding - DD - Christus zonder baard    # Christ in orans attitude - DD - Christ beardless
11DD3283|Christus als engel - DD - Christus zonder baard    # Christ as angel - DD - Christ beardless
11DD3284|Christus ~ Orpheus - DD - Christus zonder baard    # Christ ~ Orpheus - DD - Christ beardless
11DD3285|Christus ~ Apollo (Helios) - DD - Christus ongeschoren    # Christ ~ Apollo (Helios) - DD - Christ beardless
11DD33|Volwassene Christus samen met anderen (niet-narratieve voorstellingen) - DD - Christus zonder baard    # adult Christ together with others (non-narrative representations) - DD - Christ beardless
11DD331|Volwassen Christus met Maria - DD - Christus zonder baard    # adult Christ with Mary - DD - Christ beardless
11DD3311|Christus en Maria als bruidegom en bruid - DD - Christus zonder baard    # Christ and Mary as bridegroom and bride - DD - Christ beardless
11DD332|Volwassen Christus samen met engelen - DD - Christus zonder baard    # adult Christ together with angels - DD - Christ beardless
11DD333|Volwassen Christus ~ duivel(s) en demonische wezens - DD - Christus baardloos    # adult Christ ~ devil(s) and demonic creatures - DD - Christ beardless
11DD3331|Christus die triomfeert over duivel(s) - DD - Christus zonder baard    # Christ triumphing over devil(s) - DD - Christ beardless
11DD334|volwassen Christus samen met apostelen, evangelisten, heiligen, enz. - DD - Christus zonder baard    # adult Christ together with apostles, evangelists, saints, etc. - DD - Christ beardless
11DD3341|Christus met Johannes de Evangelist die op zijn borst leunt, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Christus zonder baard    # Christ with John the Evangelist leaning on his breast, 'Johannesminne', 'Christus-Johannes-Gruppe' - DD - Christ beardless
11DD3342|'Traditio legis', 'Dominus legem dat', d.w.z. Christus geeft een rol (de Wet) aan Paulus; Petrus aanwezig - DD - Christus zonder baard    # 'Traditio legis', 'Dominus legem dat', i.e. Christ giving a scroll (the Law) to Paul; Peter present - DD - Christ beardless
11DD33421|Christus geeft een rol (de Wet) aan Paulus; apostel(s) aanwezig - DD - Christus zonder baard    # Christ giving a scroll (the Law) to Paul; apostle(s) present - DD - Christ beardless
11DD3343|Christus met boetvaardige zondaars (Adam, David, verloren zoon, Maria Magdalena, goede misdadiger, Petrus, enz.) - DD - Christus zonder baard    # Christ with penitent sinners (Adam, David, prodigal son, Mary Magdalene, good malefactor, Peter, etc.) - DD - Christ beardless
11DD335|Volwassen Christus samen met stervelingen - DD - Christus spottend, dreigend, enz.    # adult Christ together with mortals - DD - Christ scornful, threatening, etc.
11DD3351|(volwassene) Christus verschijnt aan stervelingen - DD - Christus spottend, dreigend, enz.    # (adult) Christ appearing to mortals - DD - Christ scornful, threatening, etc.
11DD336|Triomferende Christus, bijvoorbeeld op triomfwagen - DD - Christus zonder baard    # triumphant Christ, e.g. on triumphal chariot - DD - Christ beardless
11DD337|Christus te paard - DD - Christus zonder baard    # Christ on horseback - DD - Christ beardless
11DD3371|Christus te paard die een leger van ridders leidt, 'Militia Christi' - DD - Christus zonder baard    # Christ on horseback leading an army of knights, 'Militia Christi' - DD - Christ beardless
11DD34|Volwassen Christus ~ abstracte begrippen - DD - Christus zonder baard    # adult Christ ~ abstract conceptions - DD - Christ beardless
11DD35|Specifieke soorten gekruisigde Christus (in niet-narratieve context) - DD - Christus zonder baard    # specific types of crucified Christ (in non-narrative context) - DD - Christ beardless
11DD351|Christus lijdt (met doornenkroon, hoofd meestal opzij gedraaid) - DD - Christus zonder baard    # Christ suffering (with crown of thorns, head usually turned sidewards) - DD - Christ beardless
11DD352|Christus bedekt met pestzweren, Pestkruzifixus - DD - Christus zonder baard    # Christ covered with pest-sores, 'Pestkruzifixus' - DD - Christ beardless
11DD353|Christus triomferend (met kroon, hoofd meestal rechtop) - DD - Christus zonder baard    # Christ triumphing (with crown, head usually upright) - DD - Christ beardless
11DD354|Christus buigt zich van het kruis om iemand te omhelzen - DD - Christus zonder baard    # Christ bowing down from the cross to embrace someone - DD - Christ beardless
11DD355|Christus gekruisigd aan een boom of aan een wijnstok - DD - Christus zonder baard    # Christ crucified on a tree or on a vine - DD - Christ beardless
11DD356|Christus gekruisigd aan een 'levend' kruis - DD - Christus zonder baard    # Christ crucified on a 'living' cross - DD - Christ beardless
11DD357|de Deugden ~ gekruisigde Christus - DD - Christus zonder baard    # the Virtues ~ crucified Christ - DD - Christ beardless
11DD36|andere soorten gekruisigde Christus in niet-narratieve context - DD - Christus zonder baard    # other types of crucified Christ in non-narrative context - DD - Christ beardless
11DD422|het Heilig Hart - DD - het Christuskind en het Heilig Hart    # the Sacred Heart - DD - the Christ-child and the Sacred Heart
11E|Heilige Geest
11E1|Heilige Geest voorgesteld als een duif (in vlammen)    # Holy Ghost represented as a dove (in flames)
11E2|Heilige Geest voorgesteld als vlammen    # Holy Ghost represented as flames
11E3|Heilige Geest voorgesteld in menselijke vorm    # Holy Ghost represented in human shape
11E4|Heilige Geest vertegenwoordigd anders, bijv. straal(stralen) van licht    # Holy Ghost represented otherwise, e.g. ray(s) of light
11E5|de zeven gaven van de Heilige Geest    # the seven gifts of the Holy Ghost
11E51|de zeven gaven van de Heilige Geest voorgesteld als zeven duiven    # the seven gifts of the Holy Ghost represented as seven doves
11E52|de zeven gaven van de Heilige Geest voorgesteld als zeven vlammen    # the seven gifts of the Holy Ghost represented as seven flames
11E53|De zeven gaven van de Heilige Geest worden voorgesteld als zeven lampen of als een zevenarmige kandelaar.    # the seven gifts of the Holy Ghost represented as seven lamps or as a seven-branched candelabrum
11E54|Aparte representaties van de zeven gaven van de Heilige Geest    # separate representations of the seven gifts of the Holy Ghost
11E541|'Sapientia', Wijsheid; 'Sapienza divina' (Ripa) ~ een van de zeven gaven van de Heilige Geest    # 'Sapientia', Wisdom; 'Sapienza divina' (Ripa) ~ one of the seven gifts of the Holy Ghost
11E542|'Intellectus', 'Intelligentia', Begrip ~ een van de zeven gaven van de Heilige Geest    # 'Intellectus', 'Intelligentia', Understanding ~ one of the seven gifts of the Holy Ghost
11E543|'Consilium', Raad ~ een van de zeven gaven van de Heilige Geest    # 'Consilium', Counsel ~ one of the seven gifts of the Holy Ghost
11E544|'Fortitudo', Fortitude ~ een van de zeven gaven van de Heilige Geest    # 'Fortitudo', Fortitude ~ one of the seven gifts of the Holy Ghost
11E545|'Pietas', Vroomheid ~ een van de zeven gaven van de Heilige Geest    # 'Pietas', Piety ~ one of the seven gifts of the Holy Ghost
11E546|'Scientia', Kennis ~ een van de zeven gaven van de Heilige Geest    # 'Scientia', Knowledge ~ one of the seven gifts of the Holy Ghost
11E547|'Timor Domini', Heilige Vrees ~ een van de zeven gaven van de Heilige Geest    # 'Timor Domini', Holy Fear ~ one of the seven gifts of the Holy Ghost
11F|de Maagd Maria
11F1|symbolen en prefiguraties van Maria    # symbols and prefigurations of Mary
11F11|symbolen van Maria    # symbols of Mary
11F111|symbolen van Maria uit litanieën    # symbols of Mary from litanies
11F111(...)|Symbolen van Maria uit litanieën (met TEKST)    # symbols (of Mary) from litanies (with TEXT)
11F112|Maria of Madonna met symbolen van de Lauretanische Litanie    # Mary or Madonna with symbols of the Lauretanian Litany
11F12|Monogrammen van Maria    # monograms of Mary
11F13|wapen van Maria    # coat of arms of Mary
11F14|'Defensorium inviolatae virginitatis'; symbolen van maagdelijk moederschap    # 'Defensorium inviolatae virginitatis'; symbols of virginal motherhood
11F15|voorspellingen van Maria; Maria en haar voorspellingen    # prefigurations of Mary; Mary and her prefigurations
11F2|Mary (zonder het Christuskind)    # Mary (without the Christ-child)
11F21|Mary als kind    # Mary as child
11F22|'portretten' van Mary    # 'portraits' of Mary
11F23|rechtopstaande figuren van Maria zonder het Christuskind    # upright figures of Mary without the Christ-child
11F231|Mary als orante (soms genoemd 'Blacherniotissa')    # Mary as orante (sometimes called 'Blacherniotissa')
11F232|'Immaculata', 'Purisima': Maria, meestal staand op een halve maan, neerdalend uit de hemel, vrij van oorspronkelijke zonde (soms slang vertrappend)    # 'Immaculata', 'Purisima': Mary, usually standing on a crescent moon, descending from heaven, exempt from original sin (sometimes trampling serpent)
11F2321|'Immaculata', 'Purisima': Maria met heiligen    # 'Immaculata', 'Purisima': Mary with saints
11F233|Mary staat of rust op de aarde    # Mary standing or resting on the earth
11F234|Zwangere Maria, Onze Lieve Vrouw van Verwachting, Madonna del Parto    # pregnant Mary, Our Lady of Expectation, 'Madonna del Parto'
11F2341|zwangere Maria, Christus-kind zichtbaar    # pregnant Mary, Christ-child visible
11F235|opening Maagd    # opening Virgin
11F2351|Drievuldigheid binnenin de openende Maagd    # Trinity inside the opening Virgin
11F2352|Passie van Christus binnenin de openende Maagd    # Passion of Christ inside the opening Virgin
11F236|'Aehrenkleidmaria' (soms met Christuskind)    # 'Aehrenkleidmaria' (sometimes with Christ-child)
11F24|zittende figuren van Maria (alleen)    # sitting figures of Mary (alone)
11F241|Onze Lieve Vrouw van de Smarten    # Our Lady of the Sorrows
11F2411|de (Zeven) Smarten van Maria    # the (Seven) Sorrows of Mary
11F2412|Mary doorzeefd door zeven zwaarden    # Mary pierced by seven swords
11F242|Onze Lieve Vrouw van de Vreugden    # Our Lady of the Joys
11F2421|de (Zeven) Vreugden van Maria    # the (Seven) Joys of Mary
11F243|Maria en de eenhoorn    # Mary and the unicorn
11F244|Maria op de troon    # Mary enthroned
11F26|andere soorten Maria (alleen)    # other types of Mary (alone)
11F25|'Mater Dolorosa'    # 'Mater Dolorosa'
11F251|Maria huilt    # Mary weeping
11F252|Mary doorboord door een zwaard    # Mary pierced by a sword
11F253|Maria met de instrumenten van het Lijden    # Mary with the instruments of the Passion
11F261|Maria als bruid van de Heilige Geest (met een duif op haar borst)    # Mary as bride of the Holy Ghost (with a dove on her bosom)
11F262|Mary als herderin    # Mary as shepherdess
11F263|Maria als pelgrim    # Mary as pilgrim
11F264|Maria als kluizenaar (na de dood van Christus), Nostra Señora de la Soledad    # Mary as hermit (after Christ's death), 'Nostra señora de la Soledad'
11F265|Mary als dokter    # Mary as doctor
11F266|Mary die de duivel overwint    # Mary conquering the devil
11F267|Mary redt ziel(en)    # Mary saving soul(s)
11F268|Mary als priesteres, die de Eucharistie toedient    # Mary as priestess, administering the Eucharist
11F3|Mary (zonder Christuskind), samen met anderen    # Mary (without Christ-child), together with others
11F31|Maria bemiddelend (met Christus), 'Maria Mediatrix' (soms Maria die haar borsten toont)    # Mary interceding (with Christ), 'Maria Mediatrix' (sometimes Mary showing her breasts)
11F32|Mary samen met stervelingen, die haar aanbidden, of haar smeken om hulp    # Mary together with mortals, who adore her, or implore her to help
11F33|Mary geeft melk van haar borsten, 'Lactatio'    # Mary giving milk from her breasts, 'Lactatio'
11F34|Mary beschermt de mensheid tegen de pest, bijvoorbeeld door mensen te verbergen onder haar mantel; 'Pestbild'    # Mary protecting mankind against the plague, e.g. by hiding people under her cloak; 'Pestbild'
11F35|Maria als Koningin van de apostelen    # Mary as Queen of the apostles
11F36|triomf van Maria, op triomfwagen    # triumph of Mary, on triumphal chariot
11F4|Madonna: d.w.z. Maria met het Christuskind    # Madonna: i.e. Mary with the Christ-child
11F41|Madonna: Maria staand (of half-lengte), Christus-kind dicht bij haar borst    # Madonna: Mary standing (or half-length), Christ-child close to her bosom
11F411|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem    # Mary standing (or half-length), the Christ-child in front of her, close to her bosom
11F4111|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; staand    # Mary standing (or half-length), the Christ-child in front of her, close to her bosom; standing
11F4112|Mary staand (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; zittend    # Mary standing (or half-length), the Christ-child in front of her, close to her bosom; sitting
11F41121|'Nikopoia' ~ Madonna    # 'Nikopoia' ~ Madonna
11F4113|Mary staat (of half-lengte), het Christuskind voor haar, dicht bij haar boezem; liggend    # Mary standing (or half-length), the Christ-child in front of her, close to her bosom; lying
11F412|Mary staand (of half-length), het Christuskind op haar arm (Christuskind aan de linkerkant van Maria)    # Mary standing (or half-length), the Christ-child on her arm (Christ-child to Mary's left)
11F4121|Mary staand (of half-lengte), het Christuskind staand op haar arm (Christuskind aan de linkerkant van Maria)    # Mary standing (or half-length), the Christ-child standing on her arm (Christ-child to Mary's left)
11F4122|Mary staand (of half-lengte), het Christuskind zittend op haar arm (Christuskind aan de linkerkant van Maria)    # Mary standing (or half-length), the Christ-child sitting on her arm (Christ-child to Mary's left)
11F41221|'Hodegetria' ~ Madonna    # 'Hodegetria' ~ Madonna
11F41222|'Dexiocratousa' ~ Madonna    # 'Dexiocratousa' ~ Madonna
11F41223|'Eleousa', 'Glykophilousa' ~ Madonna    # 'Eleousa', 'Glykophilousa' ~ Madonna
11F4123|Mary staand (of half-lengte), het Christuskind liggend op haar arm (Christuskind aan de linkerkant van Maria)    # Mary standing (or half-length), the Christ-child lying on her arm (Christ-child to Mary's left)
