0|Abstracte, non-representatieve kunst
11F4213|Maria zittend of troonend, het Christuskind voor haar, liggend op haar schoot (of voor haar boezem), soms in Pietà-houding
11F422|Maria zittend of troonend, het Christuskind op haar knie (Christuskind aan de linkerkant van Maria)
11F4221|Maria zittend of gezeten, het Christuskind staand op haar knie (Christuskind aan de linkerkant van Maria)
11F4222|Maria zittend of troonend, het Christuskind zittend op haar knie (Christuskind aan de linkerkant van Maria)
11F4223|Maria zittend of troonend, het Christuskind liggend op haar knie (Christuskind aan de linkerkant van Maria)
11F423|Specifieke types van Madonna's zittend of gezeten (zonder anderen)
11F4231|Madonna in de rozentuin, 'Paradiesgärtlein'
11F4232|Madonna omringd door een krans van bloemen (of fruit)
11F4233|Madonna in een boom
11F43|Madonna: Maria zittend op de grond, het Christuskind op haar schoot
11F431|Mary zit op de grond, het Christuskind voor haar op haar schoot.
11F4311|Mary zit op de grond, het Christuskind voor haar, staand op haar schoot.
11F4312|Mary zit op de grond, het Christuskind voor haar, zittend op haar schoot.
11F4313|Mary zit op de grond, het Christuskind voor haar, liggend in haar schoot.
11F43131|'Madonna dell'Umiltà' (meestal Maria die het Christuskind zoogt terwijl ze op de grond zit)
11F4314|Mary zit op de grond, het Christuskind voor haar, knielend op haar schoot.
11F432|Mary zit op de grond, het Christuskind op haar schoot of op haar knie (Christuskind aan de linkerkant van Maria)
11F4321|Mary zit op de grond, het Christuskind staat of stapt op Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria)
11F4322|Mary zit op de grond, het Christuskind zit op Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria)
11F4323|Mary zit op de grond, het Christuskind ligt in Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria)
11F4324|Mary zit op de grond, het Christuskind knielt op Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria)
11F44|Madonna: Maria (staand) met het Christuskind vrijstaand (of leunend tegen haar)
11F441|Mary (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend)
11F4411|Mary (staand) met het Christuskind voor haar (vrijstaand of leunend tegen haar); Christuskind staand
11F4412|Mary (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend); Christuskind zittend
11F4413|Mary (staand) met het Christuskind voor haar (vrijstaand); Christuskind liggend
11F4414|Mary (staand) met het Christuskind voor haar (vrijstaand of leunend tegen haar); Christuskind knielend
11F442|Mary (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar)
11F4421|Maria (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind staand
11F4422|Mary (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind zittend
11F4423|Mary (staand) met het Christuskind naast haar (vrijstaand); Christuskind liggend
11F4424|Mary (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind knielend
11F45|Mary knielend (op de grond), het Christuskind voor haar
11F451|Mary knielend op de grond, het Christuskind staat voor haar.
11F452|Mary knielend (op de grond), het Christuskind zittend voor haar
11F453|Mary knielend (op de grond), het Christuskind liggend voor haar
11F454|Mary knielend (op de grond), het Christuskind knielend voor haar
11F46|Kindje Jezus zit op de schouder van Maria
11F461|Mary staat, het Christuskind zit op haar schouder.
11F462|Mary zittend, gezeten, het Christuskind zittend op haar schouder
11F463|Mary zit op de grond, het Christuskind zit op haar schouder.
11F464|Mary knielend, het Christuskind zittend op haar schouder
11F5|Madonna (d.w.z. Maria met het Christuskind) in de lucht, of op de wolken
11F6|Madonna (d.w.z. Maria met het Christuskind) vergezeld of omringd door anderen
11F61|Madonna vergezeld door heilige(n)
11F611|'Sacra Conversatie'
11F612|'Ueber dich freut sich'
11F62|Specifieke soorten Madonna met anderen
11F621|'Regina Coeli', 'Regina Angelorum', 'Maestà' ~ Madonna
11F6211|'Regina Coeli', 'Regina Angelorum', 'Maestà', Johannes de Doper aanwezig
11F622|'Virgo inter Virgines'
11F623|Madonna van de Rozenkrans
11F624|Moeder van Barmhartigheid, 'Mater Misericordiae', 'Schutzmantelmadonna', 'Schutzmantelmaria'
11F63|Madonna (of Maria zonder Christuskind) als beschermheilige of beschermvrouwe, bijv. van een broederschap of lekenorde
11F7|Specifieke aspecten ~ Madonna-voorstellingen (N.B. alleen secundaire notaties)
11F71|Specifieke aspecten van Christus-kind ~ Madonna-voorstellingen (N.B. alleen secundaire notatie)
11F711|Kindje Jezus maakt sprekende of zegenende gebaren ~ Madonna-afbeeldingen
11F712|Kindje Jezus kijkt uit het schilderij ~ Madonna-afbeeldingen
11F713|Kindje Jezus kijkt naar heilige(n) of schenker(s) ~ Madonna-voorstellingen
11F714|Kindje Jezus slaapt ~ Madonna-afbeeldingen
11F715|Christuskind dat iets in zijn hand houdt, bijvoorbeeld appel, vogel, kersen, kruisbeeld, druiven, papieren windmolen ~ Madonna-afbeeldingen
11F7151|Kindje Jezus geeft iets aan iemand over ~ Madonna-afbeeldingen
11F7152|Kindje Jezus accepterend, reikend naar iets ~ Madonna-afbeeldingen
11F716|Christuskind dat Madonna-afbeeldingen eet
11F717|Kindje Jezus speelt ~ Madonna-afbeeldingen
11F7171|Kindje Jezus speelt met engelen ~ Madonna-afbeeldingen
11F7172|Kindje Jezus speelt met lam ~ Madonna-afbeeldingen
11F72|Specifieke aspecten van Christus-kind en Maria ~ Madonna-voorstellingen (N.B. alleen secundaire notatie)
11F721|Christuskind kijkt naar Maria ~ Madonna-afbeeldingen
11F722|Kindje Jezus reikt uit naar Maria; iets aan haar tonend ~ Madonna-afbeeldingen
11F723|Kindje Jezus tilt Maria's sluier op, grijpt naar haar jurk, legt zijn handen op haar borst ~ Madonna-afbeeldingen
11F724|Kindje Jezus slaat zijn arm(en) om haar nek ~ Madonna-afbeeldingen
11F725|Christuskind wang aan wang met Maria, of haar kussend ~ Madonna-afbeeldingen
11F726|Christuskind dat zuigt, of begint te zuigen, bijvoorbeeld Maria die haar borst ontbloot ~ Madonna-afbeeldingen
11F7261|'Ablactatio'; Christus die niet drinkt, Maria's borst bloot ~ Madonna-afbeeldingen
11F7269|Kindje Jezus weigert te drinken van Maria's borst ~ Madonna-voorstelling
11F727|Mary die de inktkoker vasthoudt, het Christuskind dat schrijft ~ Madonna-afbeeldingen
11F728|het Christuskind dat Maria kroont ~ Madonna-afbeeldingen
11F73|Specifieke aspecten van Maria ~ Madonna-voorstellingen (N.B. alleen secundaire notatie)
11F731|Mary die iets vasthoudt, bijvoorbeeld een appel, tros druiven, kruisbeeld, putter ~ Madonna-afbeeldingen
11F732|Mary zittend op trappen of een trap ~ Madonna-afbeeldingen
11F74|andere specifieke aspecten van Madonna-afbeeldingen
11F741|John de Doper als kind ~ Madonna-afbeeldingen (N.B. secundaire notatie alleen)
11F8|Wonderen, verschijningen en legendes ~ Maria
11F81|wonderbaarlijke standbeelden van Maria of de Madonna
11F81(...)|wonderbaarlijke beelden van Maria of de Madonna (met NAAM)
11F82|verschijningen van Maria
11F83|legendes en wonderen ~ Maria
11F831|Legende van de monnik Theophilus, die zijn ziel aan de duivel verkocht (Maria-legende)
11F8311|de boetedoening van Theophilus
11F832|Legende van de Joodse jongen, die verbrand werd nadat hij de hostie had genomen; hij werd gered door Maria
11F833|Mary redt een kind dat aan de duivel was toegewijd
11F834|Het huis van Nazareth dat naar Loreto kwam (Maria-mirakel)
11F9|Maria toewijding
11F91|Heilig Hart van Maria
11F92|relieken van Maria
11FF25|'Mater Dolorosa' - FF - 'Mater Dolorosa', hoofd of buste
11FF251|Maria die huilt - FF - Mater Dolorosa, hoofd of buste
11FF252|Mary doorboord door een zwaard - FF - Mater Dolorosa, hoofd of buste
11FF253|Mary met de instrumenten van het Lijden - FF - Mater Dolorosa, hoofd of buste
11FF412|Mary staand (of half-lengte), het Christuskind op haar arm (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4121|Mary staand (of half-lengte), het Christuskind staand op haar arm (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4122|Mary staand (of half-lengte), het Christuskind zittend op haar arm (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF41223|'Eleousa', 'Glykophilousa' ~ Madonna - FF - het Christuskind aan de rechterkant van Maria
11FF4123|Mary staand (of half-length), het Christuskind liggend op haar arm (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF41231|'Galaktotrophousa' ~ Madonna - FF - het Christuskind aan de rechterkant van Maria
11FF422|Maria zittend of troon, het Christuskind op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4221|Maria zittend of troon, het Christuskind staand op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4222|Maria zittend of troon, het Christuskind zittend op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4223|Maria zittend of gezeten, het Christuskind liggend op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF432|Mary zit op de grond, het Christuskind op haar schoot of op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4321|Mary zit op de grond, het Christuskind staat of stapt op Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4322|Mary zit op de grond, het Christuskind zit op Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4323|Mary zit op de grond, het Christuskind ligt in Maria's schoot of op haar knie (Christuskind aan de linkerkant van Maria) - FF - het Christuskind aan de rechterkant van Maria
11FF4324|Mary zit op de grond, het Christuskind knielt op Maria's schoot of op haar knie (Christuskind aan Maria's linkerzijde) - FF - het Christuskind aan Maria's rechterzijde
11FF44|Madonna: Maria (staand) met het Christuskind vrijstaand (of leunend tegen haar) - FF - Maria zittend of troonend
11FF441|Maria (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend) - FF - Maria zittend of troonend
11FF4411|Mary (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend); Christuskind staand - FF - Maria zittend of troon.
11FF4412|Maria (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend); Christuskind zittend - FF - Maria zittend of troon.
11FF4413|Mary (staand) met het Christuskind voor haar (vrijstaand); Christuskind liggend - FF - Maria zittend of troon.
11FF4414|Maria (staand) met het Christuskind voor haar (vrijstaand of tegen haar leunend); Christuskind knielend - FF - Maria zittend of op een troon
11FF442|Maria (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar) - FF - Maria zittend of troonend
11FF4421|Maria (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind staand - FF - Maria zittend of troon.
11FF4422|Mary (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind zittend - FF - Maria zittend of troonend
11FF4423|Mary (staand) met het Christuskind naast haar (vrijstaand); Christuskind liggend - FF - Maria zittend of troon.
11FF4424|Maria (staand) met het Christuskind naast haar (vrijstaand of leunend tegen haar); Christuskind knielend - FF - Maria zittend of troon.
11G|engelen
11G1|de negen koren van engelen, hiërarchie van engelen
11G11|serafijnen
11G12|Cherubim
11G13|Troon (troon vasthouden) ~ hiërarchie van engelen
11G14|Heerschappijen (met scepter en zwaard) ~ hiërarchie van engelen
11G15|Deugden (met instrumenten van het Lijden) ~ hiërarchie van engelen
11G16|Machten (met vlammend zwaard) ~ hiërarchie van engelen
11G17|Prinsdommen (met zwaard, scepter en kruis) ~ hiërarchie van engelen
11G18|de zeven Aartsengelen
11G181|groep van vier Aartsengelen
11G182|groep van drie canonieke Aartsengelen: Michael, Gabriel en Raphael
11G183|de Aartsengel Michaël (vaak in harnas met zwaard of lans)
11G1831|Psychostasis, de Aartsengel Michaël die de zielen weegt in de schalen (en de duivel steekt)
11G1832|de Aartsengel Michael die een ziel naar de hemel leidt
11G1833|de Aartsengel Michael weigert een ziel om de hemel binnen te gaan
11G1834|Verschijningen van de Aartsengel Michaël
11G18341|Op de berg Gargano verschijnt de Aartsengel Michaël aan Garganus, de bisschop van Siponte, die een pijl had afgeschoten op een stier
11G1835|Wonderen van de Aartsengel Michael
11G184|de Aartsengel Gabriël
11G1841|De aartsengel Gabriël kondigt Maria en het Christuskind de Passie van Christus aan
11G185|De Aartsengel Rafaël
11G186|andere aartsengelen dan Michael, Gabriel en Raphael
11G186(...)|andere aartsengelen dan Michael, Gabriel en Raphael (met NAAM)
11G186(URIEL)|Andere aartsengelen dan Michael, Gabriel en Raphael: Uriel
11G19|lagere engel(s)
11G191|Engel(en) voorgesteld als kind(eren)
11G1911|cherubs, d.w.z. kinderhoofdjes met vleugels
11G192|engel(en) voorgesteld als jongere(s) of volwassene(s)
11G1921|engel(en) met boek(-rol) of banderol
11G1922|engel(en) met scepter en/of globe
11G1923|engel(s) met fakkel
11G1924|engel(s) met wierookvat
11G1925|engel(s) met kelk
11G1926|engel(en) met andere object(en), bijv. wapens
11G193|vrouwelijke engelen
11G194|Engelen in andere vormen dan menselijke vorm
11G1941|Engelen als stralen van licht
11G1942|Engelen als wiel met vleugels
11G2|Activiteiten van engelen (in de hemel)
11G21|Engelen zingen, maken muziek
11G22|engelen die de Eucharistie vieren
11G23|Engelen kronen en/of brengen palmbladeren
11G24|engelen die een gordijn vasthouden
11G25|Engelen in aanbidding
11G26|Engelen die te paard rijden
11G3|Engelen vechten
11G31|de Aartsengel Michaël die vecht tegen de draak (duivel, Satan)
11G311|Michael rust naast het lijk van de draak.
11G32|de aartsengel Michael (en andere engelen) die de opstandige engelen uit de hemel werpen
11G321|Engelen die de opstandige engelen uit de hemel werpen (Michael niet aanwezig)
11G33|val van de opstandige engelen, die duivels worden
11G331|de val van Satan, val van Lucifer
11G34|Engelen die vechten tegen andere kwade machten
11G4|Specifieke aspecten van engelen, bijv. ingrijpen in menselijke aangelegenheden
11G41|beschermengel
11G42|Engelen redden een ziel achtervolgd door duivels
11G43|vernietigende engel
11G44|engel als beschermheilige
11G44(...)|engel als beschermheilige (met NAAM)
11GG19|lagere engel(s) - GG - lagere engel(s) zonder vleugels
11GG191|engel(s) voorgesteld als kind(eren) - GG - lagere engel(s) zonder vleugels
11GG192|engel(s) gerepresenteerd als jongere(s) of volwassene(s) - GG - lagere engel(s) zonder vleugels
11GG1921|engel(en) met boek(-rol) of banderol - GG - lagere engel(en) zonder vleugels
11GG1922|Engel(en) met scepter en/of globe - GG - lagere engel(en) zonder vleugels
11GG1923|engel(s) met fakkel - GG - lagere engel(s) zonder vleugels
11GG1924|Engel(en) met wierookvat - GG - lagere engel(en) zonder vleugels
11GG1925|engel(s) met kelk - GG - lagere engel(s) zonder vleugels
11GG1926|Engel(en) met andere object(en), bijv. wapens - GG - lagere engel(en) zonder vleugels
11GG193|vrouwelijke engelen - GG - lagere engel(s) zonder vleugels
11GG194|Engelen in andere dan menselijke vorm - GG - lagere engel(s) zonder vleugels
11GG1941|Engelen als stralen van licht - GG - lagere engel(s) zonder vleugels
11H|heiligen
11H(...)|mannelijke heiligen (met NAAM)
11H(...)0|mannelijke heiligen (met NAAM) - mannelijke heilige vertegenwoordigd in een groep
11H(...)1|Mannelijke heiligen (met NAAM) - specifieke aspecten ~ mannelijke heilige
11H(...)11|mannelijke heiligen (met NAAM) - mannelijke heilige als patroon, beschermer, bemiddelaar
11H(...)119|Mannelijke heiligen (met NAAM) - mannelijke heilige die toegewijden beschermt met mantel, 'Schutzmantel'
